arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,error
none,cold,2,0.006439,0.006439,0.000000,0,0.835648,0.835648,0.808888,0.006182,,6.3587,6.3587,0,0.12,
none,cold,3,0.006382,0.006382,0.000000,0,0.867659,0.867659,0.858451,0.005990,,6.2242,6.2242,0,0.08,
none,cold,4,0.006222,0.006222,0.000000,0,0.845693,0.845693,0.755459,0.007497,0,6.8329,6.8329,0,0.08,
none,cold,5,0.006533,0.006533,0.000000,0,0.811983,0.811983,0.842144,0.006414,,6.6406,6.6406,0,0.08,
none,cold,6,0.005782,0.005782,0.000000,0,0.890228,0.890228,0.862466,0.006464,0,5.9571,5.9571,0,0.07,
none,cold,7,0.005357,0.005357,0.000000,0,0.846885,0.846885,0.870453,0.006181,0,6.3711,6.3711,0,0.07,
none,cold,8,0.006406,0.006406,0.000000,0,0.871015,0.871015,0.872438,0.006707,0,5.7962,5.7962,0,0.07,
none,cold,9,0.006225,0.006225,0.000000,0,0.859335,0.859335,0.849755,0.006677,0,5.8264,5.8264,0,0.07,
scipy-lbfgsb,cold,0,0.006495,0.004882,0.248387,1,0.862517,0.887299,0.858037,0.006256,581,6.0175,5.4483,2000,31.43,
scipy-lbfgsb,cold,1,0.006025,0.005261,0.126701,1,0.819187,0.824256,0.832372,0.005528,859,6.8657,6.7687,2000,32.23,
scipy-lbfgsb,cold,2,0.006439,0.005465,0.151230,1,0.835648,0.859064,0.808888,0.006182,291,6.3587,5.8884,2000,30.87,
scipy-lbfgsb,cold,3,0.006382,0.005183,0.187902,1,0.867659,0.879349,0.858451,0.005990,424,6.2242,5.9429,2000,30.29,
scipy-lbfgsb,cold,4,0.006222,0.004494,0.277777,1,0.845693,0.881271,0.755459,0.007497,0,6.8329,5.9936,2000,30.12,
scipy-lbfgsb,cold,5,0.006533,0.005252,0.196164,1,0.811983,0.852007,0.842144,0.006414,565,6.6406,5.8915,2000,28.80,
scipy-lbfgsb,cold,6,0.005782,0.005445,0.058260,1,0.890228,0.897749,0.862466,0.006464,0,5.9571,5.7494,2000,27.89,
scipy-lbfgsb,cold,7,0.005357,0.004558,0.149162,1,0.846885,0.855521,0.870453,0.006181,0,6.3711,6.1888,2000,28.19,
scipy-lbfgsb,cold,8,0.006406,0.005633,0.120667,1,0.871015,0.881142,0.872438,0.006707,0,5.7962,5.5640,2000,27.85,
scipy-lbfgsb,cold,9,0.006225,0.005365,0.138015,1,0.859335,0.869661,0.849755,0.006677,0,5.8264,5.6085,2000,27.09,
scipy-powell,cold,0,0.006495,0.004664,0.281889,1,0.862517,0.888066,0.858037,0.006256,476,6.0175,5.4297,2000,28.72,
scipy-powell,cold,1,0.006025,0.005130,0.148464,1,0.819187,0.843005,0.832372,0.005528,1199,6.8657,6.3975,2000,29.14,
scipy-powell,cold,2,0.006439,0.005166,0.197664,1,0.835648,0.833335,0.808888,0.006182,473,6.3587,6.4033,2000,32.08,
scipy-powell,cold,3,0.006382,0.005024,0.212759,1,0.867659,0.889429,0.858451,0.005990,239,6.2242,5.6893,2000,30.36,
scipy-powell,cold,4,0.006222,0.004764,0.234373,1,0.845693,0.886463,0.755459,0.007497,0,6.8329,5.8611,2000,30.67,
scipy-powell,cold,5,0.006533,0.005100,0.219418,1,0.811983,0.818456,0.842144,0.006414,2,6.6406,6.5253,2000,30.93,
scipy-powell,cold,6,0.005782,0.005325,0.078944,1,0.890228,0.894000,0.862466,0.006464,0,5.9571,5.8538,2000,30.23,
scipy-powell,cold,7,0.005357,0.004525,0.155273,1,0.846885,0.853920,0.870453,0.006181,0,6.3711,6.2230,2000,29.98,
scipy-powell,cold,8,0.006406,0.004800,0.250754,1,0.871015,0.896847,0.872438,0.006707,0,5.7962,5.1833,2000,30.78,
scipy-powell,cold,9,0.006225,0.004646,0.253595,1,0.859335,0.858559,0.849755,0.006677,0,5.8264,5.8425,2000,31.62,
