arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
scipy-de,hot,8,125,0.005587,0.873592,0.872438,0.872438,2.10
scipy-de,hot,8,250,0.005380,0.891178,0.872438,0.872438,4.13
scipy-de,hot,8,500,0.005380,0.891178,0.872438,0.872438,8.55
scipy-de,hot,8,1000,0.005380,0.891178,0.872438,0.872438,16.39
scipy-de,hot,8,2000,0.005380,0.891178,0.872438,0.872438,30.83
scipy-de,hot,9,125,0.005439,0.859749,0.849755,0.849755,1.71
scipy-de,hot,9,250,0.005439,0.859749,0.849755,0.849755,3.40
scipy-de,hot,9,500,0.005439,0.859749,0.849755,0.849755,6.85
scipy-de,hot,9,1000,0.005439,0.859749,0.849755,0.849755,14.12
scipy-de,hot,9,2000,0.005395,0.869648,0.849755,0.849755,30.59
opt-ga,hot,0,125,0.005456,0.862911,0.858037,0.858037,2.22
opt-ga,hot,0,250,0.005261,0.867078,0.858037,0.858037,4.31
opt-ga,hot,0,500,0.005171,0.865226,0.858037,0.858037,8.60
opt-ga,hot,0,1000,0.004903,0.875471,0.858037,0.858037,17.20
opt-ga,hot,0,2000,0.004588,0.879690,0.858037,0.858037,34.30
opt-ga,hot,1,125,0.005226,0.834826,0.832372,0.832372,2.17
opt-ga,hot,1,250,0.005189,0.819331,0.832372,0.832372,4.46
opt-ga,hot,1,500,0.004825,0.855452,0.832372,0.832372,8.54
opt-ga,hot,1,1000,0.004725,0.854535,0.832372,0.832372,16.93
opt-ga,hot,1,2000,0.004305,0.869282,0.832372,0.832372,34.05
opt-ga,hot,2,125,0.005513,0.830399,0.808888,0.808888,2.21
opt-ga,hot,2,250,0.005246,0.853993,0.808888,0.808888,4.27
opt-ga,hot,2,500,0.005198,0.800086,0.808888,0.808888,8.43
opt-ga,hot,2,1000,0.004933,0.821312,0.808888,0.808888,16.90
opt-ga,hot,2,2000,0.004633,0.837424,0.808888,0.808888,33.76
opt-ga,hot,3,125,0.005496,0.879458,0.858451,0.858451,2.02
opt-ga,hot,3,250,0.005469,0.879730,0.858451,0.858451,4.06
opt-ga,hot,3,500,0.005266,0.872399,0.858451,0.858451,8.60
opt-ga,hot,3,1000,0.004991,0.874436,0.858451,0.858451,16.79
opt-ga,hot,3,2000,0.004478,0.888605,0.858451,0.858451,33.83
opt-ga,hot,4,125,0.005363,0.858623,0.755459,0.755459,2.23
opt-ga,hot,4,250,0.005329,0.845451,0.755459,0.755459,4.41
opt-ga,hot,4,500,0.004911,0.852665,0.755459,0.755459,8.42
opt-ga,hot,4,1000,0.004756,0.855231,0.755459,0.755459,16.01
opt-ga,hot,4,2000,0.004575,0.851406,0.755459,0.755459,32.09
opt-ga,hot,5,125,0.005254,0.841626,0.842144,0.842144,1.94
opt-ga,hot,5,250,0.005254,0.841626,0.842144,0.842144,3.99
opt-ga,hot,5,500,0.005233,0.838404,0.842144,0.842144,7.79
opt-ga,hot,5,1000,0.005093,0.841626,0.842144,0.842144,15.79
opt-ga,hot,5,2000,0.004880,0.847638,0.842144,0.842144,33.40
opt-ga,hot,6,125,0.005668,0.875081,0.862466,0.862466,2.17
opt-ga,hot,6,250,0.005574,0.861099,0.862466,0.862466,4.40
opt-ga,hot,6,500,0.005282,0.892114,0.862466,0.862466,8.84
opt-ga,hot,6,1000,0.004856,0.903803,0.862466,0.862466,17.85
opt-ga,hot,6,2000,0.004467,0.899825,0.862466,0.862466,35.14
opt-ga,hot,7,125,0.005506,0.855252,0.870453,0.870453,2.16
opt-ga,hot,7,250,0.005428,0.858602,0.870453,0.870453,4.31
opt-ga,hot,7,500,0.005063,0.872569,0.870453,0.870453,8.57
opt-ga,hot,7,1000,0.004578,0.885358,0.870453,0.870453,17.86
opt-ga,hot,7,2000,0.004171,0.893657,0.870453,0.870453,35.13
opt-ga,hot,8,125,0.005773,0.884506,0.872438,0.872438,2.06
opt-ga,hot,8,250,0.005659,0.881842,0.872438,0.872438,4.24
opt-ga,hot,8,500,0.005295,0.876823,0.872438,0.872438,8.58
opt-ga,hot,8,1000,0.004929,0.892274,0.872438,0.872438,17.45
opt-ga,hot,8,2000,0.004282,0.895865,0.872438,0.872438,34.98
opt-ga,hot,9,125,0.005457,0.865664,0.849755,0.849755,2.08
opt-ga,hot,9,250,0.005239,0.866034,0.849755,0.849755,4.21
opt-ga,hot,9,500,0.005127,0.877982,0.849755,0.849755,8.53
opt-ga,hot,9,1000,0.004808,0.880257,0.849755,0.849755,17.55
opt-ga,hot,9,2000,0.004381,0.883589,0.849755,0.849755,35.56
opt-pso,hot,0,125,0.005496,0.869179,0.858037,0.858037,2.27
opt-pso,hot,0,250,0.005496,0.869179,0.858037,0.858037,4.41
opt-pso,hot,0,500,0.005496,0.869179,0.858037,0.858037,8.64
opt-pso,hot,0,1000,0.005496,0.869179,0.858037,0.858037,16.66
opt-pso,hot,0,2000,0.005477,0.880115,0.858037,0.858037,31.94
opt-pso,hot,1,125,0.005226,0.834826,0.832372,0.832372,1.98
opt-pso,hot,1,250,0.005226,0.834826,0.832372,0.832372,3.83
opt-pso,hot,1,500,0.005226,0.834826,0.832372,0.832372,7.52
opt-pso,hot,1,1000,0.005174,0.850799,0.832372,0.832372,15.55
opt-pso,hot,1,2000,0.005174,0.850799,0.832372,0.832372,30.67
opt-pso,hot,2,125,0.005513,0.830399,0.808888,0.808888,1.81
opt-pso,hot,2,250,0.005513,0.830399,0.808888,0.808888,3.69
opt-pso,hot,2,500,0.005513,0.830399,0.808888,0.808888,7.33
opt-pso,hot,2,1000,0.005412,0.836967,0.808888,0.808888,14.90
opt-pso,hot,2,2000,0.005263,0.867813,0.808888,0.808888,30.56
opt-pso,hot,3,125,0.005418,0.890144,0.858451,0.858451,1.98
opt-pso,hot,3,250,0.005331,0.898237,0.858451,0.858451,3.87
opt-pso,hot,3,500,0.005257,0.875813,0.858451,0.858451,7.98
opt-pso,hot,3,1000,0.005257,0.875813,0.858451,0.858451,14.86
opt-pso,hot,3,2000,0.005231,0.880530,0.858451,0.858451,28.81
opt-pso,hot,4,125,0.005363,0.858623,0.755459,0.755459,1.74
opt-pso,hot,4,250,0.005363,0.858623,0.755459,0.755459,3.54
opt-pso,hot,4,500,0.005363,0.858623,0.755459,0.755459,6.87
opt-pso,hot,4,1000,0.005363,0.858623,0.755459,0.755459,13.63
opt-pso,hot,4,2000,0.005203,0.825154,0.755459,0.755459,27.05
opt-pso,hot,5,125,0.005254,0.841626,0.842144,0.842144,1.71
opt-pso,hot,5,250,0.005254,0.841626,0.842144,0.842144,3.38
opt-pso,hot,5,500,0.005254,0.841626,0.842144,0.842144,6.60
opt-pso,hot,5,1000,0.005254,0.841626,0.842144,0.842144,13.31
opt-pso,hot,5,2000,0.005254,0.841626,0.842144,0.842144,27.67
opt-pso,hot,6,125,0.005469,0.888225,0.862466,0.862466,1.77
opt-pso,hot,6,250,0.005469,0.888225,0.862466,0.862466,3.53
opt-pso,hot,6,500,0.005464,0.886215,0.862466,0.862466,7.19
opt-pso,hot,6,1000,0.005464,0.886215,0.862466,0.862466,14.11
opt-pso,hot,6,2000,0.005464,0.886215,0.862466,0.862466,29.01
opt-pso,hot,7,125,0.005548,0.869041,0.870453,0.870453,1.86
opt-pso,hot,7,250,0.005548,0.869041,0.870453,0.870453,3.67
opt-pso,hot,7,500,0.005548,0.869041,0.870453,0.870453,7.29
opt-pso,hot,7,1000,0.005548,0.869041,0.870453,0.870453,15.05
opt-pso,hot,7,2000,0.005304,0.871756,0.870453,0.870453,29.96
opt-pso,hot,8,125,0.005782,0.880859,0.872438,0.872438,1.93
opt-pso,hot,8,250,0.005782,0.880859,0.872438,0.872438,3.72
opt-pso,hot,8,500,0.005641,0.876836,0.872438,0.872438,7.28
opt-pso,hot,8,1000,0.005294,0.880142,0.872438,0.872438,14.39
opt-pso,hot,8,2000,0.005294,0.880142,0.872438,0.872438,29.65
opt-pso,hot,9,125,0.005457,0.865664,0.849755,0.849755,1.88
opt-pso,hot,9,250,0.005457,0.865664,0.849755,0.849755,3.66
opt-pso,hot,9,500,0.005457,0.865664,0.849755,0.849755,7.44
opt-pso,hot,9,1000,0.005457,0.865664,0.849755,0.849755,14.72
opt-pso,hot,9,2000,0.005213,0.885242,0.849755,0.849755,29.72
opt-aco,hot,0,125,0.005496,0.869179,0.858037,0.858037,1.85
opt-aco,hot,0,250,0.005253,0.882751,0.858037,0.858037,3.77
opt-aco,hot,0,500,0.005253,0.882751,0.858037,0.858037,7.47
opt-aco,hot,0,1000,0.005072,0.876319,0.858037,0.858037,15.03
opt-aco,hot,0,2000,0.004984,0.885845,0.858037,0.858037,30.03
opt-aco,hot,1,125,0.005226,0.834826,0.832372,0.832372,1.88
opt-aco,hot,1,250,0.005221,0.854249,0.832372,0.832372,3.74
opt-aco,hot,1,500,0.005113,0.853676,0.832372,0.832372,7.48
opt-aco,hot,1,1000,0.005048,0.842487,0.832372,0.832372,15.18
opt-aco,hot,1,2000,0.004779,0.863113,0.832372,0.832372,30.41
opt-aco,hot,2,125,0.005513,0.830399,0.808888,0.808888,1.80
opt-aco,hot,2,250,0.005345,0.859204,0.808888,0.808888,3.65
opt-aco,hot,2,500,0.005328,0.858404,0.808888,0.808888,7.34
opt-aco,hot,2,1000,0.005169,0.848493,0.808888,0.808888,14.93
opt-aco,hot,2,2000,0.004840,0.841204,0.808888,0.808888,30.84
opt-aco,hot,3,125,0.005496,0.879458,0.858451,0.858451,2.08
opt-aco,hot,3,250,0.005412,0.897382,0.858451,0.858451,4.29
opt-aco,hot,3,500,0.005205,0.886393,0.858451,0.858451,8.49
opt-aco,hot,3,1000,0.005205,0.886393,0.858451,0.858451,16.43
opt-aco,hot,3,2000,0.005173,0.877512,0.858451,0.858451,32.71
opt-aco,hot,4,125,0.005363,0.858623,0.755459,0.755459,2.16
opt-aco,hot,4,250,0.005363,0.858623,0.755459,0.755459,4.28
opt-aco,hot,4,500,0.005250,0.865695,0.755459,0.755459,8.49
opt-aco,hot,4,1000,0.005130,0.866084,0.755459,0.755459,17.04
opt-aco,hot,4,2000,0.004919,0.879265,0.755459,0.755459,33.58
opt-aco,hot,5,125,0.005254,0.841626,0.842144,0.842144,2.00
opt-aco,hot,5,250,0.005254,0.841626,0.842144,0.842144,4.12
opt-aco,hot,5,500,0.005239,0.829430,0.842144,0.842144,8.40
opt-aco,hot,5,1000,0.005137,0.839149,0.842144,0.842144,16.91
opt-aco,hot,5,2000,0.004881,0.849679,0.842144,0.842144,35.40
opt-aco,hot,6,125,0.005518,0.892022,0.862466,0.862466,2.14
opt-aco,hot,6,250,0.005518,0.892022,0.862466,0.862466,4.77
opt-aco,hot,6,500,0.005298,0.887480,0.862466,0.862466,9.22
opt-aco,hot,6,1000,0.005212,0.877303,0.862466,0.862466,18.27
opt-aco,hot,6,2000,0.004829,0.881382,0.862466,0.862466,35.79
