dataset,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_r2_theta1,pooled_r2_theta2,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_r2_theta1,trained_r2_theta2,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_r2_theta1,holdout_r2_theta2,pooled_rmse_deg_theta3,pooled_r2_theta3,trained_rmse_deg_theta3,trained_r2_theta3,holdout_rmse_deg_theta3,holdout_r2_theta3
double_friction,nb20_1st_g0_uniform_raw_probability,40,3.55,0.11984095803615266,0.7915076771301114,29.394552192828815,21.382404830096025,35.64929397499705,0.8589435193802823,0.7240718348799404,0.1408585584419766,0.7187120981214932,33.61654277515262,23.728171795455506,41.19608912934186,0.8252189727748298,0.6122052234681565,0.11585138164200282,0.8045269487544514,29.0205763992151,20.814165109314537,35.371715252268366,0.8647745284019208,0.744279369106982,,,,,,
double_friction,nb20_full-2nd_g0_uniform_raw_probability,40,3.74,0.09204823119364902,0.8763152459429717,23.004485327247536,13.864717649344126,29.430975091679475,0.940693539159252,0.8119369527266915,0.09758164821513535,0.8645691091414665,23.545955189013448,14.612203336984825,29.921689878158112,0.9337177648077548,0.7954204534751781,0.0897180034798685,0.8821409521581545,23.45687454955624,10.01189846294035,31.62612553625581,0.9687123181290338,0.7955695861872752,,,,,,
double_friction,nb5_1st_g2_uniform_raw_probability,10,0.33,0.23797610530281674,0.18818479793180054,55.79469460593163,54.53571701132212,57.02588414395104,0.08242408952153779,0.2939455063420633,0.2494929906060425,0.12631792921200896,57.458016902625246,53.96541136599973,60.75015875586803,0.09594112232150132,0.1566947361025166,0.22965742462628266,0.2364705833316818,54.56563944162046,53.63629918729432,55.479414424062725,0.10203765918770702,0.3709035074756566,,,,,,
double_friction,nb5_1st_g3_uniform_raw_probability,10,0.36,0.2050153159477354,0.39753894048919103,48.052851554380766,47.03935175426732,49.045412339514805,0.31734291059463327,0.4777349703837488,0.23192856805997641,0.24412077788336434,53.64159900101276,49.006585953314314,57.90679424705981,0.25445368462383555,0.23378787114289312,0.18219467304262132,0.5206328362306285,42.29723612548553,45.94172483731655,38.30757479510352,0.3411976998928312,0.7000679725684257,,,,,,
double_friction,nb5_1st_g5_uniform_raw_probability,10,0.33,0.12380497118329739,0.7771637064060821,30.518006885467248,21.243814031520454,37.56857535117645,0.8607661184999913,0.693561294312173,0.15652495048904275,0.6515837045904862,37.75389863659846,23.55014338348992,47.917684325749406,0.8278318381920952,0.47533557098887735,0.10823649132184443,0.8294250726876552,27.05222046042732,19.74336206596576,32.76957305201442,0.8783302168487583,0.780519928526552,,,,,,
double_friction,nb12_1st_g2_uniform_raw_probability,24,1.16,0.21530040297906355,0.33648199603535706,50.2068938612168,50.42992745625359,49.98286505533624,0.2153849480334532,0.4575790440372609,0.22916454173120201,0.2633631093062819,52.652212320855334,50.18498005031726,55.008896570555876,0.21816835802347234,0.3085578605890914,0.20059291085117553,0.41829451798095907,47.05686843240713,48.956691447285365,45.07704621939031,0.25189142273126086,0.5846976132306573,,,,,,
double_friction,nb12_1st_g3_uniform_raw_probability,24,1.11,0.15613884342228043,0.6486532386624015,37.32971824176127,32.67506214724944,41.465118373060996,0.6706081927627248,0.6266982845620783,0.16883324287362375,0.5990203461016375,39.199931536601326,34.886052975218895,43.08401760233933,0.6221935193670269,0.575847172836248,0.18013989037764871,0.5309504549411052,42.191624977220464,44.192509610231305,40.09100311524324,0.3904099857260147,0.6714909241561956,,,,,,
double_friction,nb12_1st_g5_uniform_raw_probability,24,1.15,0.11716262832339076,0.8002425126422912,28.97461158889368,19.558271049720318,36.0073640662598,0.8819840057470987,0.7185010195374837,0.13987825869567672,0.7227081387771539,33.34331988696388,23.82283489516392,40.69430549507585,0.8238216196571092,0.6215946578971986,0.11312075568664898,0.8131911316574194,28.89170590619011,17.34123199481065,36.99652704297685,0.9061357075378813,0.7202465557769575,,,,,,
double_friction,nb20_1st_g2_uniform_raw_probability,40,1.72,0.14306797801736626,0.7027337859560709,35.141940533566306,25.249706525159716,42.80612443707927,0.8033053180942755,0.6021622538178665,0.19840958662837638,0.44437838673618363,46.62041084281744,37.94470932158404,53.9177563406219,0.5530404801447822,0.335716293327585,0.11724994568422047,0.7999111610511587,29.20862198819454,21.848716950294186,35.055966175879554,0.8509978994217428,0.7488244226805747,,,,,,
double_friction,nb20_1st_g3_uniform_raw_probability,40,1.72,0.13046445939906579,0.7526919400553455,32.094956336835374,22.75285519831583,39.27441947185499,0.8402827755942874,0.6651011045164035,0.14671013695734403,0.6949154454476483,34.98949159375846,24.87014623357822,42.778556196999276,0.8079906359899174,0.5818402549053792,0.12114933904245215,0.7860299318680091,30.595482314366134,20.50290669719571,38.10246570844821,0.8687886557525344,0.7032712079834837,,,,,,
double_friction,nb20_1st_g5_uniform_raw_probability,40,1.71,0.11087791278493862,0.820893515280656,27.526434820812355,17.87124812615597,34.583633676960936,0.9014651822221871,0.740321848339125,0.13025023652583223,0.7596430769009845,31.01432554085318,22.404930559313037,37.70670847661456,0.8441693307675726,0.6751168230343964,0.10420031304101858,0.8414194480781259,26.71132060979184,15.384840206756705,34.500666504442265,0.9261200668481263,0.7567188293081255,,,,,,
double_friction,nb40_1st_g2_uniform_raw_probability,80,3.36,0.08335699985593491,0.8992769075356474,20.34292895709872,15.424276647697438,24.284999629450816,0.9266010984344859,0.8719527166368088,0.09898490665148339,0.863083678897987,22.424022662980946,23.183292744882337,21.63812658907539,0.8331539344479181,0.893013423348056,0.07479671247942075,0.918261806199055,19.226026266382796,10.71783063776189,24.988162765828438,0.9641446229143907,0.8723789894837192,,,,,,
double_friction,nb40_1st_g3_uniform_raw_probability,80,3.55,0.09318847231664946,0.8730699073247283,23.388352942311194,13.365501780948009,30.255470064960246,0.9448874526818553,0.8012523619676013,0.10789305446240662,0.8351261822306757,25.6631119185695,18.738158715206474,31.08169935273459,0.8910017418592818,0.7792506226020696,0.07977408367068213,0.9070533658111721,20.44905805599946,11.782678574316732,26.41015782553391,0.9566660203419702,0.8574407112803739,,,,,,
double_friction,nb40_1st_g5_uniform_raw_probability,80,3.74,0.10067735560622025,0.8519003863139452,25.23907722911026,14.639010181583252,32.55336264746689,0.9338844866765268,0.7699162859513635,0.11343714734583675,0.8168027865322063,27.462865539928973,16.281300621213344,35.260987187118225,0.917710595043774,0.7158949780206385,0.10295967387022023,0.8448339401566264,26.85140022134887,12.035270795938766,36.01593598065351,0.9547881532363125,0.7348797270769403,,,,,,
triple_friction,nb2_1st_g0_uniform_raw_probability,6,0.38,0.15469139244038896,0.4803907392632624,30.722767257905723,24.91653541912801,35.56899792617666,0.556120118525637,0.2960672886807887,0.17308815047343457,0.3768620465560966,33.55263365288175,28.409336309058183,35.59078231605899,0.4424569190156332,0.28274035254572083,0.15409207824393942,0.4850868232507884,30.816097474232116,23.624227899890368,35.84695864086465,0.5958216666379038,0.30812110114921987,30.751876905081964,0.5889848105833615,36.10461881453961,0.40538886810693575,31.714145155723603,0.5513177019652415
triple_friction,nb2_full-2nd_g0_uniform_raw_probability,6,0.4,0.14748192416806474,0.525942936195371,29.32730479887827,23.40993829911478,34.7535471064001,0.6081763100710778,0.3279738675610967,0.16158139803441265,0.44757623054960566,31.405976690811965,27.492781038927397,34.3838773793835,0.47785202125746207,0.33056097101894333,0.15101539515911722,0.5083654649918569,30.226121262690068,22.274582630654656,35.17414001684797,0.6406836891841472,0.333849386676351,28.713031408296185,0.6416786309539384,31.95155837852958,0.5343156993724116,31.740794924920312,0.5505633191150723
triple_friction,nb3_1st_g0_uniform_raw_probability,9,0.59,0.1413183644247894,0.5609426113729183,28.12001676496021,22.775028985455812,33.995369529496,0.6291416780937942,0.3569756494243028,0.16818200916572731,0.3907920541830454,33.10287593009239,24.03745633324884,41.81480748099476,0.6008526306559093,0.00993995812227888,0.13521792423507434,0.5951749803581847,26.96122020709085,23.304865998041322,31.328388580913888,0.6066754976731061,0.47155283805657544,26.416262677555157,0.6967105066006579,31.001995949999298,0.561583573770948,25.615180555723867,0.7072966053448726
triple_friction,nb3_full-2nd_g0_uniform_raw_probability,9,0.61,0.12704989874268358,0.6464638322238295,25.231703450874186,21.065871707879943,29.517371057354836,0.6827153789876609,0.5152216274898767,0.1402140368810786,0.583028424300336,27.333388219415124,22.808757305573316,31.095325491425754,0.6406153670406738,0.4524906449308975,0.12823156473464295,0.6384025814835615,25.60097720581231,21.19756153889797,29.928399109743577,0.674590976891497,0.5177275765104867,24.389965808671015,0.741454490193951,27.462404436202043,0.6559792609294367,24.92357143769921,0.7228891910487008
triple_friction,nb5_1st_g0_uniform_raw_probability,15,1.0,0.11204077497648997,0.7260292700900189,22.24979506562282,18.388619234084146,25.890237988896388,0.7582378037068687,0.6270419615826204,0.12684272645699177,0.6601378238659693,24.75402284819921,19.697655212721052,28.593146764720498,0.7319688206324,0.5370594356382343,0.10407636389948209,0.7616233394432083,20.783019043713207,17.160742915488168,24.44616277352817,0.7867299100894456,0.6782290339951469,21.83379034727637,0.7928080449805678,25.15391179755987,0.7113852153272736,20.092179323127805,0.8199110742450324
triple_friction,nb5_full-2nd_g0_uniform_raw_probability,15,1.02,0.10146812627417325,0.7797885968965423,20.224891540692266,14.105407197160966,24.23277230604373,0.8577470085351799,0.6732661801610156,0.11627156254135736,0.7188139280332243,22.708416667832733,15.978926280766853,26.613118478129486,0.8236191460301211,0.5989552230425121,0.09430572015419057,0.80804383713266,18.915985891509912,13.17705132363668,22.97110842764226,0.8742539775263807,0.7158881424928747,20.998784433009916,0.8083526019934315,24.154345415733616,0.7338674150270394,19.29085438136822,0.8339893913787246
