source,instance,n,arm,gap_pct,seconds,q_arm_mean,detail
benchmark/small,fl1577,1577,lk_32_10_12,8.575666322081892,0.022846991999813326,1.0070875108104045,
benchmark/large,fl1577,1577,lk_32_10_12,8.575666322081892,0.023483146000216948,1.0068941726003224,
benchmark/small,fl1577,1577,lk_32_4_8,8.503752977661918,0.01870580200011318,1.0061838313126712,
benchmark/large,fl1577,1577,lk_32_4_8,8.503752977661918,0.01881990300034886,1.0061319801967652,
benchmark/small,fl1577,1577,lk_32_6_8,8.503752977661918,0.021473825999692053,1.0069138830927027,
benchmark/large,fl1577,1577,lk_32_6_8,8.503752977661918,0.02035342999988643,1.006694767203914,
benchmark/small,fl1577,1577,lk_64_10_32,9.348734774596611,0.037721052000051714,1.0070109860831091,
benchmark/large,fl1577,1577,lk_64_10_32,9.348734774596611,0.038447963000635355,1.0070117536630354,
benchmark/small,fl1577,1577,nearest-neighbour construction,25.362937660119556,7.474800031559425e-05,1.1752690128617187,
benchmark/large,fl1577,1577,nearest-neighbour construction,25.362937660119556,6.227399990166305e-05,1.1752690128617187,
benchmark/small,d2103,2103,FIS deferred verification,2.8862647607209446,0.03155690199992023,1.0059237791432494,
benchmark/large,d2103,2103,FIS deferred verification,3.547545059042884,0.03852454000025318,1.007694386146369,
benchmark/small,d2103,2103,FIS effort,2.865133623368552,0.03055132999952548,1.0044825042296526,
benchmark/large,d2103,2103,FIS effort,3.021752641392169,0.03235265800049092,1.0052625047581623,
benchmark/small,d2103,2103,FIS effort+chain,2.9919204474829084,0.02628017999995791,1.007029461345093,
benchmark/large,d2103,2103,FIS effort+chain,3.6432566811684275,0.029497199000161345,1.0080664026511228,
benchmark/small,d2103,2103,FIS full (fuzzy construction),1.3362336855189558,0.023385282999697665,1.0182851645016107,
benchmark/large,d2103,2103,FIS full (fuzzy construction),1.454319453076445,0.02268184900003689,1.0132779122445035,
lkh_compare,d2103,2103,FIS local search,2.9919204474829084,0.017304199980571866,,
benchmark/small,d2103,2103,LK k32/d10/b32,2.136730888750777,0.03759409899976163,1.0079053264240385,
benchmark/large,d2103,2103,LK k32/d10/b32,2.136730888750777,0.039324620999650506,1.0078036414983984,
lkh_compare,d2103,2103,LK k32/d10/b32,2.136730888750777,0.023143300000810996,,
benchmark/small,d2103,2103,LK k32/d2/b4,2.6140459912989433,0.024512700000286713,1.003949071971721,
benchmark/large,d2103,2103,LK k32/d2/b4,2.6140459912989433,0.02454507199990985,1.0040697080289724,
lkh_compare,d2103,2103,LK k32/d2/b4,2.6140459912989433,0.0164132000063546,,
benchmark/small,d2103,2103,LK k32/d3/b8,2.468614045991299,0.025931356000455708,1.0047638345010088,
benchmark/large,d2103,2103,LK k32/d3/b8,2.468614045991299,0.026895369000158098,1.0050733415359843,
lkh_compare,d2103,2103,LK k32/d3/b8,2.468614045991299,0.01720010000281036,,
benchmark/small,d2103,2103,LK k32/d6/b32,2.136730888750777,0.030924563000553462,1.0035207428679007,
benchmark/large,d2103,2103,LK k32/d6/b32,2.136730888750777,0.03119057400044767,1.003402438675091,
lkh_compare,d2103,2103,LK k32/d6/b32,2.136730888750777,0.01975549999042414,,
lkh_compare,d2103,2103,LK k32/d6/b8,2.5705407085146055,0.019087199994828552,,
benchmark/small,d2103,2103,LK k48/d10/b32,1.9154754505904288,0.06553408500030855,1.0056517538491074,
benchmark/large,d2103,2103,LK k48/d10/b32,1.9154754505904288,0.06736294100028317,1.0055846963209243,
lkh_compare,d2103,2103,LK k48/d10/b32,1.9154754505904288,0.037403700029244646,,
lkh_compare,d2103,2103,LKH,7.231821006836545,0.2674797999789007,,nn5/trials=1
lkh_compare,d2103,2103,LKH,4.565568676196396,1.2243784999882337,,nn5/trials=25
lkh_compare,d2103,2103,LKH,3.1547545059042883,5.400646599999163,,nn5/trials=100
lkh_compare,d2103,2103,LKH,0.41143567433188316,111.37880770000629,,nn5/trials=1000
lkh_compare,d2103,2103,LKH,0.2921068986948415,2.2512030999932904,,alpha/trials=1
lkh_compare,d2103,2103,LKH,0.14170292106898694,2.7792489000130445,,alpha/trials=25
lkh_compare,d2103,2103,LKH,0.14170292106898694,3.6363363999989815,,alpha/trials=100
lkh_compare,d2103,2103,LKH,0.028589185829707892,39.49197919998551,,runs=1 (elkai default)
lkh_compare,d2103,2103,LKH,0.012430080795525171,93.69203109998489,,runs=2
lkh_compare,d2103,2103,LKH,0.0037290242386575512,371.2472272000159,,runs=5
benchmark/small,d2103,2103,construct_fis,7.225605966438782,0.0012124579998271656,1.1736233946567567,
benchmark/large,d2103,2103,construct_fis,7.225605966438782,0.0012507850001384213,1.1736233946567567,
benchmark/small,d2103,2103,fis_chain_greedy_handwritten,2.4188937228091985,0.032095908999963285,1.0045630520778273,
benchmark/large,d2103,2103,fis_chain_greedy_handwritten,2.4188937228091985,0.03169084300043323,1.0043647180736544,
benchmark/small,d2103,2103,fis_construct_lk,1.3871970167806091,0.035685867999745824,1.0086753491775193,
benchmark/large,d2103,2103,fis_construct_lk,1.3871970167806091,0.03501143500034232,1.0084547624587679,
benchmark/small,d2103,2103,fis_effort_greedy_handwritten,2.4188937228091985,0.03141379699991376,1.0060098374959503,
benchmark/large,d2103,2103,fis_effort_greedy_handwritten,2.4188937228091985,0.03231439500041233,1.005887548748728,
benchmark/small,d2103,2103,fis_effort_nn,1.528899937849596,0.022245107000344433,1.0140412382046813,
benchmark/large,d2103,2103,fis_effort_nn,2.2510876320696083,0.021860931000446726,1.017924208543351,
benchmark/small,d2103,2103,greedy-edge construction,12.326911124922312,0.00365479799984314,1.1203724763346603,
benchmark/large,d2103,2103,greedy-edge construction,12.326911124922312,0.003753863000383717,1.1203724763346603,
lkh_compare,d2103,2103,iterated (control),2.136730888750777,0.020757499965839088,,0 kicks
lkh_compare,d2103,2103,iterated (control),1.490366687383468,0.14575060000061058,,1600 kicks
lkh_compare,d2103,2103,iterated (control),1.1385954008701056,0.6534239999891724,,6400 kicks
lkh_compare,d2103,2103,iterated (control),0.290863890615289,2.4054641000111587,,25600 kicks
lkh_compare,d2103,2103,iterated (control),0.2759477936606588,9.145790399983525,,102400 kicks
lkh_compare,d2103,2103,iterated (control),0.1528899937849596,32.566710599989165,,409600 kicks
lkh_compare,d2103,2103,iterated + CHAIN reopt depth,2.993163455562461,0.01832619999186136,,0 kicks
lkh_compare,d2103,2103,iterated + CHAIN reopt depth,1.5811062771908018,0.09403989996644668,,1600 kicks
lkh_compare,d2103,2103,iterated + CHAIN reopt depth,0.7321317588564326,0.32152319999295287,,6400 kicks
lkh_compare,d2103,2103,iterated + CHAIN reopt depth,0.6003729024238658,1.1590150000120047,,25600 kicks
lkh_compare,d2103,2103,iterated + CHAIN reopt depth,0.5954008701056557,4.43307649999042,,102400 kicks
lkh_compare,d2103,2103,iterated + CHAIN reopt depth,0.5954008701056557,17.317628599965246,,409600 kicks
lkh_compare,d2103,2103,iterated + EFFORT-aimed kicks,2.136730888750777,0.02016609997372143,,0 kicks
lkh_compare,d2103,2103,iterated + EFFORT-aimed kicks,1.5114978247358608,0.16553769996971823,,1600 kicks
lkh_compare,d2103,2103,iterated + EFFORT-aimed kicks,0.7022995649471722,0.5875813999737147,,6400 kicks
lkh_compare,d2103,2103,iterated + EFFORT-aimed kicks,0.4151646985705407,2.241375599987805,,25600 kicks
lkh_compare,d2103,2103,iterated + EFFORT-aimed kicks,0.22747047855811062,8.321383499976946,,102400 kicks
lkh_compare,d2103,2103,iterated + EFFORT-aimed kicks,0.0870105655686762,31.675315900007263,,409600 kicks
lkh_compare,d2103,2103,iterated + both,2.993163455562461,0.01861349999671802,,0 kicks
lkh_compare,d2103,2103,iterated + both,1.3722809198259789,0.10201899998355657,,1600 kicks
lkh_compare,d2103,2103,iterated + both,0.7458048477315102,0.3289012999739498,,6400 kicks
lkh_compare,d2103,2103,iterated + both,0.7458048477315102,1.2524427000025753,,25600 kicks
lkh_compare,d2103,2103,iterated + both,0.7458048477315102,4.924216399987927,,102400 kicks
lkh_compare,d2103,2103,iterated + both,0.6003729024238658,19.480220399971586,,409600 kicks
benchmark/small,d2103,2103,lk_16_4_8,3.3238036047234307,0.024741469000218785,1.003941395819218,
benchmark/large,d2103,2103,lk_16_4_8,3.3238036047234307,0.02755664500000421,1.0037598898757132,
benchmark/small,d2103,2103,lk_24_4_8,4.349285270354257,0.029616589999477583,1.0072554797351712,
benchmark/large,d2103,2103,lk_24_4_8,4.349285270354257,0.02843359100006637,1.0069127845632717,
benchmark/small,d2103,2103,lk_32_10_12,1.9105034182722187,0.04069267699969714,1.0070875108104045,
benchmark/large,d2103,2103,lk_32_10_12,1.9105034182722187,0.04071987399993304,1.0068941726003224,
benchmark/small,d2103,2103,lk_32_4_8,2.432566811684276,0.027093534999949043,1.0061838313126712,
benchmark/large,d2103,2103,lk_32_4_8,2.432566811684276,0.02702228699990883,1.0061319801967652,
benchmark/small,d2103,2103,lk_32_6_8,2.5705407085146055,0.030055206999804795,1.0069138830927027,
benchmark/large,d2103,2103,lk_32_6_8,2.5705407085146055,0.029522899000312464,1.006694767203914,
benchmark/small,d2103,2103,lk_64_10_32,3.950279676817899,0.07073911299994506,1.0070109860831091,
benchmark/large,d2103,2103,lk_64_10_32,3.950279676817899,0.07014517599964165,1.0070117536630354,
benchmark/small,d2103,2103,nearest-neighbour construction,8.763206960845245,3.6006000300403684e-05,1.1752690128617187,
benchmark/large,d2103,2103,nearest-neighbour construction,8.763206960845245,3.3648000226094155e-05,1.1752690128617187,
benchmark/small,pr2392,2392,FIS deferred verification,4.318946544207898,0.05403165600000648,1.0059237791432494,
benchmark/large,pr2392,2392,FIS deferred verification,5.074702670673382,0.05228060800027379,1.007694386146369,
benchmark/small,pr2392,2392,FIS effort,4.2157806746518816,0.05480694800053243,1.0044825042296526,
benchmark/large,pr2392,2392,FIS effort,4.185095441655733,0.046141921000071306,1.0052625047581623,
benchmark/small,pr2392,2392,FIS effort+chain,4.664948999026538,0.03842699500046365,1.007029461345093,
benchmark/large,pr2392,2392,FIS effort+chain,5.684439412536505,0.039475966000281915,1.0080664026511228,
benchmark/small,pr2392,2392,FIS full (fuzzy construction),4.480573073178991,0.032863380999970104,1.0182851645016107,
benchmark/large,pr2392,2392,FIS full (fuzzy construction),4.4763406272484865,0.03528436800070267,1.0132779122445035,
lkh_compare,pr2392,2392,FIS local search,4.664948999026538,0.02309989999048412,,
benchmark/small,pr2392,2392,LK k32/d10/b32,4.275299445549583,0.06247441000050458,1.0079053264240385,
benchmark/large,pr2392,2392,LK k32/d10/b32,4.275299445549583,0.05827153400059615,1.0078036414983984,
lkh_compare,pr2392,2392,LK k32/d10/b32,4.275299445549583,0.03325170002062805,,
benchmark/small,pr2392,2392,LK k32/d2/b4,5.31568756084141,0.03355290600029548,1.003949071971721,
benchmark/large,pr2392,2392,LK k32/d2/b4,5.31568756084141,0.03342662100067173,1.0040697080289724,
lkh_compare,pr2392,2392,LK k32/d2/b4,5.31568756084141,0.021784699987620115,,
benchmark/small,pr2392,2392,LK k32/d3/b8,4.106530664070767,0.03662192799993136,1.0047638345010088,
benchmark/large,pr2392,2392,LK k32/d3/b8,4.106530664070767,0.0366080960002364,1.0050733415359843,
lkh_compare,pr2392,2392,LK k32/d3/b8,4.106530664070767,0.023450400010915473,,
benchmark/small,pr2392,2392,LK k32/d6/b32,4.704628179625005,0.04862909000030413,1.0035207428679007,
benchmark/large,pr2392,2392,LK k32/d6/b32,4.704628179625005,0.047006784000586777,1.003402438675091,
lkh_compare,pr2392,2392,LK k32/d6/b32,4.704628179625005,0.02812360000098124,,
lkh_compare,pr2392,2392,LK k32/d6/b8,4.275299445549583,0.029908500000601634,,
benchmark/small,pr2392,2392,LK k48/d10/b32,4.157320015236805,0.06544899199980136,1.0056517538491074,
benchmark/large,pr2392,2392,LK k48/d10/b32,4.157320015236805,0.06758258399986516,1.0055846963209243,
lkh_compare,pr2392,2392,LK k48/d10/b32,4.157320015236805,0.03876650001620874,,
lkh_compare,pr2392,2392,LKH,0.6152918271469082,0.15157789998920634,,nn/trials=1
lkh_compare,pr2392,2392,LKH,0.285954628179625,0.24253150000004098,,nn/trials=5
lkh_compare,pr2392,2392,LKH,0.19125365048461507,0.4998922999948263,,nn/trials=25
lkh_compare,pr2392,2392,LKH,0.16347822406568757,1.354934000002686,,nn/trials=100
lkh_compare,pr2392,2392,LKH,0.0,11.257899499993073,,nn/trials=1000
lkh_compare,pr2392,2392,LKH,0.25976636898463623,3.078265799995279,,alpha/trials=1
lkh_compare,pr2392,2392,LKH,0.15898125026452786,3.594880699994974,,alpha/trials=25
lkh_compare,pr2392,2392,LKH,0.007935836119693571,4.273492199979955,,alpha/trials=100
lkh_compare,pr2392,2392,LKH,0.0,22.12389190000249,,runs=1 (elkai default)
lkh_compare,pr2392,2392,LKH,0.0,38.53829510000651,,runs=2
lkh_compare,pr2392,2392,LKH,0.0,89.54310569999507,,runs=5
lkh_compare,pr2392,2392,LKH,0.6152918271469082,0.15176639999845065,,nn5/trials=1
lkh_compare,pr2392,2392,LKH,0.19125365048461507,0.4956716999877244,,nn5/trials=25
lkh_compare,pr2392,2392,LKH,0.16347822406568757,1.3702205000154208,,nn5/trials=100
lkh_compare,pr2392,2392,LKH,0.0,11.376247099979082,,nn5/trials=1000
lkh_compare,pr2392,2392,LKH,0.01878147881660812,20.7301394000242,,nn32/trials=1
lkh_compare,pr2392,2392,LKH,0.01878147881660812,183.31248230001074,,nn32/trials=25
lkh_compare,pr2392,2392,LKH,0.005819613154441952,288.5603446000023,,nn32/trials=100
lkh_compare,pr2392,2392,LKH,0.0,598.5770148999873,,nn32/trials=1000
benchmark/small,pr2392,2392,construct_fis,22.08807719981377,0.0022375839998858282,1.1736233946567567,
benchmark/large,pr2392,2392,construct_fis,22.08807719981377,0.002116305000072316,1.1736233946567567,
benchmark/small,pr2392,2392,fis_chain_greedy_handwritten,4.824723832903035,0.06789727700015646,1.0045630520778273,
benchmark/large,pr2392,2392,fis_chain_greedy_handwritten,4.824723832903035,0.050871528000243416,1.0043647180736544,
benchmark/small,pr2392,2392,fis_construct_lk,4.197263723705929,0.0797470960001192,1.0086753491775193,
benchmark/large,pr2392,2392,fis_construct_lk,4.197263723705929,0.05680647100052738,1.0084547624587679,
benchmark/small,pr2392,2392,fis_effort_greedy_handwritten,5.010422398103864,0.06803151599979174,1.0060098374959503,
benchmark/large,pr2392,2392,fis_effort_greedy_handwritten,5.010422398103864,0.05113943900050799,1.005887548748728,
benchmark/small,pr2392,2392,fis_effort_nn,5.356953908663817,0.03401770100072099,1.0140412382046813,
benchmark/large,pr2392,2392,fis_effort_nn,4.049921699750286,0.03132243100026244,1.017924208543351,
benchmark/small,pr2392,2392,greedy-edge construction,21.786779955136073,0.0061273040000742185,1.1203724763346603,
benchmark/large,pr2392,2392,greedy-edge construction,21.786779955136073,0.006089042999974481,1.1203724763346603,
lkh_compare,pr2392,2392,iterated (control),4.704628179625005,0.02871630000299774,,0 kicks
lkh_compare,pr2392,2392,iterated (control),4.3282050196808735,0.03772880000178702,,100 kicks
lkh_compare,pr2392,2392,iterated (control),3.55446099801075,0.06503739999607205,,400 kicks
lkh_compare,pr2392,2392,iterated (control),1.6120328437804208,0.14668039997923188,,1600 kicks
lkh_compare,pr2392,2392,iterated (control),1.3850679307571845,0.4402237000176683,,6400 kicks
lkh_compare,pr2392,2392,iterated (control),1.2033372836162017,1.539945099997567,,25600 kicks
lkh_compare,pr2392,2392,iterated (control),1.160748296440513,5.791122400027234,,102400 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,3.872952554281119,0.022312499990221113,,0 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,3.648897447835104,0.026089100021636114,,100 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,2.973557794049181,0.03811480003059842,,400 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,2.2072205527574384,0.08128139999462292,,1600 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,1.784769543319084,0.2472276000189595,,6400 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,1.319729546705041,0.8947821000183467,,25600 kicks
lkh_compare,pr2392,2392,iterated + CHAIN reopt depth,1.1184238371354807,3.267749199992977,,102400 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,4.704628179625005,0.028921700024511665,,0 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,3.7047128285436153,0.03978430002462119,,100 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,3.018527532060778,0.0627791000297293,,400 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,2.156166673720743,0.15054140001302585,,1600 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,1.3951199898421298,0.45626350000384264,,6400 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,1.1797943031277776,1.5959440000297036,,25600 kicks
lkh_compare,pr2392,2392,iterated + EFFORT-aimed kicks,0.9880115969018496,5.9819898000278044,,102400 kicks
lkh_compare,pr2392,2392,iterated + both,3.872952554281119,0.02252210001461208,,0 kicks
lkh_compare,pr2392,2392,iterated + both,3.4568502137385195,0.026633700006641448,,100 kicks
lkh_compare,pr2392,2392,iterated + both,2.9225039150124856,0.03698580001946539,,400 kicks
lkh_compare,pr2392,2392,iterated + both,2.2347314513057097,0.07845180001459084,,1600 kicks
lkh_compare,pr2392,2392,iterated + both,1.8725927963770264,0.2481401000113692,,6400 kicks
lkh_compare,pr2392,2392,iterated + both,1.2237059296567487,0.8533451000112109,,25600 kicks
lkh_compare,pr2392,2392,iterated + both,1.1044038599906887,3.4154019000125118,,102400 kicks
benchmark/small,pr2392,2392,lk_16_4_8,4.80197443602658,0.029022230000464333,1.003941395819218,
benchmark/large,pr2392,2392,lk_16_4_8,4.80197443602658,0.02755980800020552,1.0037598898757132,
benchmark/small,pr2392,2392,lk_24_4_8,7.0845854319211075,0.03292377800016766,1.0072554797351712,
benchmark/large,pr2392,2392,lk_24_4_8,7.0845854319211075,0.034015805999842996,1.0069127845632717,
benchmark/small,pr2392,2392,lk_32_10_12,4.371323062597876,0.06010810100042363,1.0070875108104045,
benchmark/large,pr2392,2392,lk_32_10_12,4.371323062597876,0.0590638769999714,1.0068941726003224,
benchmark/small,pr2392,2392,lk_32_4_8,4.107853303424049,0.041561247000117874,1.0061838313126712,
benchmark/large,pr2392,2392,lk_32_4_8,4.107853303424049,0.039072304000455915,1.0061319801967652,
benchmark/small,pr2392,2392,lk_32_6_8,4.275299445549583,0.05306938000012451,1.0069138830927027,
benchmark/large,pr2392,2392,lk_32_6_8,4.275299445549583,0.048023391000242555,1.006694767203914,
benchmark/small,pr2392,2392,lk_64_10_32,4.084310322935624,0.09228234299962423,1.0070109860831091,
benchmark/large,pr2392,2392,lk_64_10_32,4.084310322935624,0.07588445799956389,1.0070117536630354,
benchmark/small,pr2392,2392,nearest-neighbour construction,21.991789054894824,0.00017975700029637665,1.1752690128617187,
benchmark/large,pr2392,2392,nearest-neighbour construction,21.991789054894824,0.00016442199967059423,1.1752690128617187,
benchmark/small,pcb3038,3038,FIS deferred verification,3.6080003485990675,0.057252149999840185,1.0059237791432494,
benchmark/large,pcb3038,3038,FIS deferred verification,3.6145365811146455,0.053991230000065116,1.007694386146369,
