arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
opt-gd,hot,5,0.006111,0.003359,0.450398,1,0.853000,0.867808,0.853000,0.006111,0,5.8717,5.5681,2000,27.65,0.0000,0.2647,
opt-gd,hot,6,0.005818,0.003640,0.374276,1,0.874481,0.926807,0.874481,0.005818,0,6.3701,4.8643,2000,26.22,0.0000,0.2589,
opt-gd,hot,7,0.006026,0.004931,0.181742,1,0.830188,0.875036,0.830188,0.006026,0,6.7095,5.7557,2000,25.76,0.0000,0.6336,
opt-gd,hot,8,0.006408,0.003514,0.451525,1,0.867871,0.887579,0.867871,0.006408,0,5.8663,5.4112,2000,26.37,0.0000,0.2432,
opt-gd,hot,9,0.005719,0.003392,0.406902,1,0.875211,0.902154,0.875211,0.005719,0,5.4878,4.8594,2000,26.23,0.0000,0.2826,
none,cold,0,0.006022,0.006022,0.000000,0,0.854952,0.854952,0.835445,0.006113,0,6.1809,6.1809,0,0.06,0.0000,0.2520,
none,cold,1,0.006062,0.006062,0.000000,0,0.818466,0.818466,0.830070,0.005830,,6.8793,6.8793,0,0.06,0.0000,0.2628,
none,cold,2,0.006063,0.006063,0.000000,0,0.827170,0.827170,0.798067,0.005970,,6.5207,6.5207,0,0.06,0.0000,0.2247,
none,cold,3,0.005521,0.005521,0.000000,0,0.872826,0.872826,0.874722,0.006025,0,6.1015,6.1015,0,0.06,0.0000,0.2653,
none,cold,4,0.005913,0.005913,0.000000,0,0.858403,0.858403,0.824534,0.006128,0,6.5454,6.5454,0,0.07,0.0000,0.2905,
none,cold,5,0.005789,0.005789,0.000000,0,0.831731,0.831731,0.853000,0.006111,0,6.2822,6.2822,0,0.07,0.0000,0.2309,
none,cold,6,0.005952,0.005952,0.000000,0,0.873646,0.873646,0.874481,0.005818,,6.3912,6.3912,0,0.06,0.0000,0.2376,
none,cold,7,0.005712,0.005712,0.000000,0,0.849223,0.849223,0.830188,0.006026,0,6.3223,6.3223,0,0.06,0.0000,0.2467,
none,cold,8,0.006069,0.006069,0.000000,0,0.882678,0.882678,0.867871,0.006408,0,5.5279,5.5279,0,0.06,0.0000,0.2547,
none,cold,9,0.006701,0.006701,0.000000,0,0.863477,0.863477,0.875211,0.005719,,5.7400,5.7400,0,0.06,0.0000,0.2932,
scipy-lbfgsb,cold,0,0.006022,0.004782,0.205951,1,0.854952,0.885116,0.835445,0.006113,0,6.1809,5.5008,2000,25.24,0.0000,0.2520,
scipy-lbfgsb,cold,1,0.006062,0.004975,0.179183,1,0.818466,0.838787,0.830070,0.005830,1049,6.8793,6.4829,2000,25.34,0.0000,0.2628,
scipy-lbfgsb,cold,2,0.006063,0.005007,0.174147,1,0.827170,0.858543,0.798067,0.005970,267,6.5207,5.8992,2000,26.04,0.0000,0.2247,
scipy-lbfgsb,cold,3,0.005521,0.004899,0.112659,1,0.872826,0.883518,0.874722,0.006025,0,6.1015,5.8393,2000,25.36,0.0000,0.2653,
scipy-lbfgsb,cold,4,0.005913,0.004739,0.198607,1,0.858403,0.874591,0.824534,0.006128,0,6.5454,6.1599,2000,25.88,0.0000,0.2905,
scipy-lbfgsb,cold,5,0.005789,0.005104,0.118360,1,0.831731,0.834702,0.853000,0.006111,0,6.2822,6.2265,2000,24.73,0.0000,0.2309,
scipy-lbfgsb,cold,6,0.005952,0.005525,0.071607,1,0.873646,0.880155,0.874481,0.005818,883,6.3912,6.2244,2000,25.38,0.0000,0.2376,
scipy-lbfgsb,cold,7,0.005712,0.005191,0.091277,1,0.849223,0.868230,0.830188,0.006026,0,6.3223,5.9104,2000,25.29,0.0000,0.2467,
scipy-lbfgsb,cold,8,0.006069,0.004613,0.239869,1,0.882678,0.883950,0.867871,0.006408,0,5.5279,5.4978,2000,26.12,0.0000,0.2547,
scipy-lbfgsb,cold,9,0.006701,0.005630,0.159755,1,0.863477,0.868105,0.875211,0.005719,1779,5.7400,5.6419,2000,25.53,0.0000,0.2932,
scipy-powell,cold,0,0.006022,0.004888,0.188403,1,0.854952,0.867951,0.835445,0.006113,0,6.1809,5.8974,2000,24.97,0.0000,0.2520,
scipy-powell,cold,1,0.006062,0.005111,0.156877,1,0.818466,0.836569,0.830070,0.005830,193,6.8793,6.5273,2000,24.48,0.0000,0.2628,
scipy-powell,cold,2,0.006063,0.004815,0.205883,1,0.827170,0.814273,0.798067,0.005970,57,6.5207,6.7596,2000,25.23,0.0000,0.2247,
scipy-powell,cold,3,0.005521,0.004458,0.192538,1,0.872826,0.898875,0.874722,0.006025,0,6.1015,5.4408,2000,24.83,0.0000,0.2653,
scipy-powell,cold,4,0.005913,0.004887,0.173530,1,0.858403,0.888054,0.824534,0.006128,0,6.5454,5.8199,2000,24.37,0.0000,0.2905,
scipy-powell,cold,5,0.005789,0.005005,0.135380,1,0.831731,0.849633,0.853000,0.006111,0,6.2822,5.9386,2000,24.01,0.0000,0.2309,
scipy-powell,cold,6,0.005952,0.004831,0.188271,1,0.873646,0.875492,0.874481,0.005818,142,6.3912,6.3444,2000,24.14,0.0000,0.2376,
scipy-powell,cold,7,0.005712,0.005028,0.119714,1,0.849223,0.872675,0.830188,0.006026,0,6.3223,5.8098,2000,25.23,0.0000,0.2467,
scipy-powell,cold,8,0.006069,0.004638,0.235847,1,0.882678,0.901445,0.867871,0.006408,0,5.5279,5.0665,2000,26.06,0.0000,0.2547,
scipy-powell,cold,9,0.006701,0.005112,0.237072,1,0.863477,0.880911,0.875211,0.005719,1492,5.7400,5.3610,2000,23.14,0.0000,0.2932,
scipy-de,cold,0,0.006022,0.005295,0.120749,1,0.854952,0.885884,0.835445,0.006113,0,6.1809,5.4824,2000,25.66,0.0000,0.2520,
scipy-de,cold,1,0.006062,0.004925,0.187525,1,0.818466,0.850974,0.830070,0.005830,4,6.8793,6.2330,2000,26.65,0.0000,0.2628,
scipy-de,cold,2,0.006063,0.005224,0.138324,1,0.827170,0.841980,0.798067,0.005970,9,6.5207,6.2351,2000,27.46,0.0000,0.2247,
scipy-de,cold,3,0.005521,0.005278,0.043987,1,0.872826,0.901596,0.874722,0.006025,0,6.1015,5.3671,2000,28.88,0.0000,0.2653,
scipy-de,cold,4,0.005913,0.005166,0.126389,1,0.858403,0.870331,0.824534,0.006128,0,6.5454,6.2637,2000,26.64,0.0000,0.2905,
scipy-de,cold,5,0.005789,0.005218,0.098650,1,0.831731,0.824805,0.853000,0.006111,0,6.2822,6.4101,2000,26.15,0.0000,0.2309,
scipy-de,cold,6,0.005952,0.005390,0.094317,1,0.873646,0.880551,0.874481,0.005818,8,6.3912,6.2141,2000,24.61,0.0000,0.2376,
scipy-de,cold,7,0.005712,0.005217,0.086674,1,0.849223,0.889409,0.830188,0.006026,0,6.3223,5.4146,2000,25.03,0.0000,0.2467,
scipy-de,cold,8,0.006069,0.005375,0.114418,1,0.882678,0.889495,0.867871,0.006408,0,5.5279,5.3649,2000,24.29,0.0000,0.2547,
scipy-de,cold,9,0.006701,0.005270,0.213464,1,0.863477,0.877987,0.875211,0.005719,10,5.7400,5.4264,2000,24.71,0.0000,0.2932,
opt-ga,cold,0,0.006022,0.004714,0.217160,1,0.854952,0.829880,0.835445,0.006113,0,6.1809,6.6938,2000,24.72,0.0000,0.2520,
opt-ga,cold,1,0.006062,0.004156,0.314440,1,0.818466,0.850308,0.830070,0.005830,1,6.8793,6.2469,2000,25.85,0.0000,0.2628,
opt-ga,cold,2,0.006063,0.004601,0.241105,1,0.827170,0.861712,0.798067,0.005970,7,6.5207,5.8328,2000,23.96,0.0000,0.2247,
opt-ga,cold,3,0.005521,0.004620,0.163206,1,0.872826,0.901711,0.874722,0.006025,0,6.1015,5.3640,2000,25.44,0.0000,0.2653,
opt-ga,cold,4,0.005913,0.004668,0.210561,1,0.858403,0.871808,0.824534,0.006128,0,6.5454,6.2279,2000,25.14,0.0000,0.2905,
opt-ga,cold,5,0.005789,0.004524,0.218528,1,0.831731,0.865041,0.853000,0.006111,0,6.2822,5.6261,2000,25.83,0.0000,0.2309,
opt-ga,cold,6,0.005952,0.004695,0.211067,1,0.873646,0.904020,0.874481,0.005818,48,6.3912,5.5703,2000,26.11,0.0000,0.2376,
opt-ga,cold,7,0.005712,0.004317,0.244232,1,0.849223,0.860532,0.830188,0.006026,0,6.3223,6.0806,2000,25.19,0.0000,0.2467,
opt-ga,cold,8,0.006069,0.004530,0.253585,1,0.882678,0.889492,0.867871,0.006408,0,5.5279,5.3650,2000,24.70,0.0000,0.2547,
opt-ga,cold,9,0.006701,0.004636,0.308118,1,0.863477,0.892710,0.875211,0.005719,42,5.7400,5.0885,2000,25.25,0.0000,0.2932,
opt-pso,cold,0,0.006022,0.005278,0.123526,1,0.854952,0.858608,0.835445,0.006113,0,6.1809,6.1025,2000,25.62,0.0000,0.2520,
opt-pso,cold,1,0.006062,0.005157,0.149163,1,0.818466,0.833650,0.830070,0.005830,1,6.8793,6.5853,2000,25.29,0.0000,0.2628,
opt-pso,cold,2,0.006063,0.005367,0.114869,1,0.827170,0.845135,0.798067,0.005970,7,6.5207,6.1725,2000,25.01,0.0000,0.2247,
