arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
scipy-de,hot,8,250,0.005671,0.865288,0.867871,0.867871,3.12
scipy-de,hot,8,500,0.005671,0.865288,0.867871,0.867871,6.21
scipy-de,hot,8,1000,0.005611,0.878361,0.867871,0.867871,12.56
scipy-de,hot,8,2000,0.005375,0.889495,0.867871,0.867871,24.75
scipy-de,hot,9,125,0.005509,0.866890,0.875211,0.875211,1.47
scipy-de,hot,9,250,0.005483,0.878262,0.875211,0.875211,2.90
scipy-de,hot,9,500,0.005483,0.878262,0.875211,0.875211,5.80
scipy-de,hot,9,1000,0.005483,0.878262,0.875211,0.875211,11.70
scipy-de,hot,9,2000,0.005270,0.877987,0.875211,0.875211,24.41
opt-ga,hot,0,125,0.005331,0.877992,0.835445,0.835445,1.75
opt-ga,hot,0,250,0.005231,0.856876,0.835445,0.835445,3.35
opt-ga,hot,0,500,0.005202,0.847160,0.835445,0.835445,6.49
opt-ga,hot,0,1000,0.004873,0.856969,0.835445,0.835445,12.70
opt-ga,hot,0,2000,0.004714,0.829880,0.835445,0.835445,25.36
opt-ga,hot,1,125,0.005421,0.841036,0.830070,0.830070,1.67
opt-ga,hot,1,250,0.005178,0.819267,0.830070,0.830070,3.19
opt-ga,hot,1,500,0.004977,0.831022,0.830070,0.830070,6.15
opt-ga,hot,1,1000,0.004790,0.826866,0.830070,0.830070,12.25
opt-ga,hot,1,2000,0.004682,0.833962,0.830070,0.830070,24.94
opt-ga,hot,2,125,0.005367,0.845135,0.798067,0.798067,1.64
opt-ga,hot,2,250,0.005132,0.856221,0.798067,0.798067,3.12
opt-ga,hot,2,500,0.005087,0.853141,0.798067,0.798067,6.19
opt-ga,hot,2,1000,0.004861,0.853848,0.798067,0.798067,12.31
opt-ga,hot,2,2000,0.004563,0.864791,0.798067,0.798067,25.05
opt-ga,hot,3,125,0.005505,0.888709,0.874722,0.874722,1.59
opt-ga,hot,3,250,0.005273,0.883527,0.874722,0.874722,3.30
opt-ga,hot,3,500,0.005159,0.885723,0.874722,0.874722,6.58
opt-ga,hot,3,1000,0.004848,0.892185,0.874722,0.874722,13.57
opt-ga,hot,3,2000,0.004547,0.898826,0.874722,0.874722,26.82
