family,n,seed,flat_k,flat_ari_per_level,flat_pou_max,flat_pou_mean,ms_granularities,ms_ari_per_level,ms_pou_max,ms_pou_mean
log_separated,100,6,2,[0.5737902531427588],1.1102230246251565e-16,3.663735981263017e-17,[2],[0.5737902531427588],1.1102230246251565e-16,3.663735981263017e-17
log_separated,100,7,3,[1.0],0.0,0.0,"[2, 2]",[0.5737902531427588],1.1102230246251565e-16,4.2053902447922596e-17
log_separated,100,8,3,[0.969690846635684],1.1102230246251565e-16,3.663735981263017e-17,"[2, 2]",[0.5628321618378193],1.1102230246251565e-16,8.285246452426541e-19
log_separated,100,9,3,[1.0],1.1102230246251565e-16,3.663735981263017e-17,"[2, 2]",[0.5737902531427588],1.1102230246251565e-16,2.7755575615628914e-17
log_separated,250,0,3,[0.9284800477225224],2.220446049250313e-16,8.881784197001253e-19,"[2, 3]",[0.9284800477225224],2.220446049250313e-16,2.9537282927436995e-17
log_separated,250,1,3,[1.0],0.0,0.0,"[2, 2]",[0.5723941804393521],1.1102230246251565e-16,3.34404525489505e-19
log_separated,250,2,3,[0.9879514201259478],1.1102230246251565e-16,7.37188088351104e-17,"[5, 2]",[0.5577102419222119],2.220446049250313e-16,1.3376181019580199e-17
log_separated,250,3,3,[1.0],0.0,0.0,"[2, 2]",[0.5723941804393521],1.1102230246251565e-16,4.651968234989601e-17
log_separated,250,4,3,[0.9759040248600789],2.220446049250313e-16,8.881784197001253e-19,"[3, 3]",[0.9759040248600789],2.220446049250313e-16,3.120930555488452e-17
log_separated,250,5,3,[0.9879514201259478],1.1102230246251565e-16,3.68594044175552e-17,"[2, 2]",[0.5679960502496023],1.1102230246251565e-16,3.34404525489505e-19
log_separated,250,6,3,[0.9879514201259478],0.0,0.0,"[4, 2]",[0.5577102419222119],1.1102230246251565e-16,1.33761810195802e-18
log_separated,250,7,3,[0.988024296307651],0.0,0.0,"[2, 3]",[0.988024296307651],1.1102230246251565e-16,4.347258831363565e-18
log_separated,250,8,3,[0.9522552547276488],0.0,0.0,"[3, 3]",[0.9522552547276488],2.220446049250313e-16,2.3408316784265347e-18
log_separated,250,9,3,[0.9645153468826817],1.1102230246251565e-16,4.440892098500626e-19,"[4, 2]",[0.5723941804393521],2.220446049250313e-16,9.363326713706139e-18
log_separated,500,0,3,[0.9940181573287548],1.1102230246251565e-16,7.37188088351104e-17,[3],[0.9940181573287548],1.1102230246251565e-16,7.37188088351104e-17
log_separated,500,1,3,[0.9879820985607913],0.0,0.0,"[11, 3]",[0.9879820985607913],2.220446049250313e-16,1.755623758819901e-17
log_separated,500,2,3,[0.976092153010952],0.0,0.0,"[14, 2]",[0.566031810504931],4.440892098500626e-16,2.140188963132832e-17
log_separated,500,3,3,[0.9760192868711381],1.1102230246251565e-16,3.663735981263017e-17,"[2, 2]",[0.561661721864553],1.1102230246251565e-16,4.752289592636453e-17
log_separated,500,4,3,[0.9356515466983694],1.1102230246251565e-16,3.8635761256955445e-17,"[9, 3]",[0.9356515466983694],3.3306690738754696e-16,1.0191579842438546e-16
log_separated,500,5,3,[0.9880726759870132],0.0,0.0,"[7, 2]",[0.5733847456715089],2.220446049250313e-16,6.470727568221922e-17
log_separated,500,6,3,[0.9474901091195781],1.1102230246251565e-16,4.440892098500626e-19,"[4, 2]",[0.5733847456715089],1.1102230246251565e-16,2.875878919209743e-17
log_separated,500,7,3,[1.0],0.0,0.0,"[11, 2]",[0.5733847456715089],3.3306690738754696e-16,3.4982726220508096e-17
log_separated,500,8,3,[1.0],0.0,0.0,"[11, 2]",[0.5733847456715089],4.440892098500626e-16,1.3677145092520754e-16
log_separated,500,9,3,[0.9760192868711381],2.220446049250313e-16,4.440892098500626e-19,[3],[0.9760192868711381],2.220446049250313e-16,4.440892098500626e-19
log_separated,1000,0,3,[0.9910316759581931],1.1102230246251565e-16,1.1102230246251566e-19,[3],[0.9910316759581931],1.1102230246251565e-16,1.1102230246251566e-19
log_separated,1000,1,3,[0.9790928297835501],0.0,0.0,[3],[0.9790928297835501],0.0,0.0
log_separated,1000,2,3,[0.9790567596171209],1.1102230246251565e-16,3.3306690738754697e-19,[3],[0.9790567596171209],1.1102230246251565e-16,3.3306690738754697e-19
log_separated,1000,3,3,[0.9850982426645389],2.220446049250313e-16,2.220446049250313e-19,[3],[0.9850982426645389],2.220446049250313e-16,2.220446049250313e-19
log_separated,1000,4,3,[0.9940120542038232],0.0,0.0,[3],[0.9940120542038232],0.0,0.0
log_separated,1000,5,3,[1.0],0.0,0.0,"[16, 2]",[0.5716725949351892],4.440892098500626e-16,2.0587469000181207e-17
log_separated,1000,6,3,[0.9940120542038232],0.0,0.0,[3],[0.9940120542038232],0.0,0.0
log_separated,1000,7,3,[1.0],1.1102230246251565e-16,3.6970426720017715e-17,[3],[1.0],1.1102230246251565e-16,3.6970426720017715e-17
log_separated,1000,8,4,[0.9716026046794789],1.1102230246251565e-16,3.652633751016765e-17,[4],[0.9716026046794789],1.1102230246251565e-16,3.652633751016765e-17
log_separated,1000,9,3,[0.9790567596171209],2.220446049250313e-16,3.763656053479281e-17,[3],[0.9790567596171209],2.220446049250313e-16,3.763656053479281e-17
log_separated,2000,0,3,[0.998498874063205],0.0,0.0,[3],[0.998498874063205],0.0,0.0
