arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
none,hot,5,1000,0.011508,0.999583,0.999583,0.999583,0.031
none,hot,5,2000,0.011508,0.999583,0.999583,0.999583,0.031
scipy-lbfgsb,hot,5,125,0.011393,0.999583,0.999583,0.999583,4.053
scipy-lbfgsb,hot,5,250,0.001939,0.999625,0.999583,0.999583,8.083
scipy-lbfgsb,hot,5,500,0.000618,0.999708,0.999583,0.999583,16.299
scipy-lbfgsb,hot,5,1000,0.000434,0.999687,0.999583,0.999583,32.575
scipy-lbfgsb,hot,5,2000,0.000310,0.999750,0.999583,0.999583,65.229
scipy-powell,hot,5,125,0.001676,0.999604,0.999583,0.999583,3.894
scipy-powell,hot,5,250,0.001676,0.999604,0.999583,0.999583,7.737
scipy-powell,hot,5,500,0.000805,0.999750,0.999583,0.999583,15.502
scipy-powell,hot,5,1000,0.000522,0.999812,0.999583,0.999583,30.894
scipy-powell,hot,5,2000,0.000426,0.999833,0.999583,0.999583,61.958
scipy-de,hot,5,125,0.011508,0.999583,0.999583,0.999583,0.036
scipy-de,hot,5,250,0.011508,0.999583,0.999583,0.999583,0.036
scipy-de,hot,5,500,0.011508,0.999583,0.999583,0.999583,0.036
scipy-de,hot,5,1000,0.011508,0.999583,0.999583,0.999583,0.036
scipy-de,hot,5,2000,0.011508,0.999583,0.999583,0.999583,0.036
opt-ga,hot,5,125,0.011508,0.999583,0.999583,0.999583,2.256
opt-ga,hot,5,250,0.011508,0.999583,0.999583,0.999583,4.607
opt-ga,hot,5,500,0.008365,0.999792,0.999583,0.999583,9.941
opt-ga,hot,5,1000,0.000942,0.999792,0.999583,0.999583,23.904
opt-ga,hot,5,2000,0.000502,0.999792,0.999583,0.999583,54.861
opt-pso,hot,5,125,0.011508,0.999583,0.999583,0.999583,2.445
opt-pso,hot,5,250,0.011508,0.999583,0.999583,0.999583,4.940
opt-pso,hot,5,500,0.011508,0.999583,0.999583,0.999583,9.967
opt-pso,hot,5,1000,0.011508,0.999583,0.999583,0.999583,19.316
opt-pso,hot,5,2000,0.011508,0.999583,0.999583,0.999583,37.702
opt-aco,hot,5,125,0.011508,0.999583,0.999583,0.999583,2.360
opt-aco,hot,5,250,0.011508,0.999583,0.999583,0.999583,4.877
opt-aco,hot,5,500,0.011508,0.999583,0.999583,0.999583,9.569
opt-aco,hot,5,1000,0.011508,0.999583,0.999583,0.999583,18.929
opt-aco,hot,5,2000,0.011508,0.999583,0.999583,0.999583,37.716
opt-gd,hot,5,125,0.011459,0.999583,0.999583,0.999583,4.203
opt-gd,hot,5,250,0.011459,0.999583,0.999583,0.999583,8.380
opt-gd,hot,5,500,0.001164,0.999646,0.999583,0.999583,16.540
