arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
opt-pso,cold,2,250,0.186772,0.987292,0.393375,0.999250,4.481
opt-pso,cold,2,500,0.186772,0.987292,0.393375,0.999250,9.105
opt-pso,cold,2,1000,0.186772,0.987292,0.393375,0.999250,17.898
opt-pso,cold,2,2000,0.186772,0.987292,0.393375,0.999250,35.991
opt-aco,cold,2,125,0.186772,0.987292,0.393375,0.999250,2.178
opt-aco,cold,2,250,0.082080,0.976375,0.393375,0.999250,4.369
opt-aco,cold,2,500,0.046857,0.986917,0.393375,0.999250,8.696
opt-aco,cold,2,1000,0.019049,0.998833,0.393375,0.999250,17.354
opt-aco,cold,2,2000,0.008627,0.999812,0.393375,0.999250,35.649
opt-gd,cold,2,125,0.309087,0.954729,0.393375,0.999250,2.351
opt-gd,cold,2,250,0.297129,0.963271,0.393375,0.999250,4.801
opt-gd,cold,2,500,0.255415,0.986938,0.393375,0.999250,9.521
opt-gd,cold,2,1000,0.172456,0.962771,0.393375,0.999250,18.588
opt-gd,cold,2,2000,0.079623,0.969021,0.393375,0.999250,37.502
none,cold,3,125,4.554151,0.427021,0.427021,0.999708,0.020
none,cold,3,250,4.554151,0.427021,0.427021,0.999708,0.020
none,cold,3,500,4.554151,0.427021,0.427021,0.999708,0.020
none,cold,3,1000,4.554151,0.427021,0.427021,0.999708,0.020
none,cold,3,2000,4.554151,0.427021,0.427021,0.999708,0.020
scipy-lbfgsb,cold,3,125,4.552861,0.427021,0.427021,0.999708,2.456
scipy-lbfgsb,cold,3,250,2.353629,0.220812,0.427021,0.999708,5.006
scipy-lbfgsb,cold,3,500,1.894889,0.258083,0.427021,0.999708,9.839
scipy-lbfgsb,cold,3,1000,1.545463,0.683208,0.427021,0.999708,19.405
scipy-lbfgsb,cold,3,2000,0.378581,0.927250,0.427021,0.999708,39.652
scipy-powell,cold,3,125,0.308431,0.904438,0.427021,0.999708,2.525
scipy-powell,cold,3,250,0.006913,0.998479,0.427021,0.999708,5.148
scipy-powell,cold,3,500,0.005014,0.999667,0.427021,0.999708,9.927
scipy-powell,cold,3,1000,0.004204,0.999646,0.427021,0.999708,19.750
scipy-powell,cold,3,2000,0.002919,0.999729,0.427021,0.999708,39.436
scipy-de,cold,3,125,0.300881,0.833000,0.427021,0.999708,2.341
scipy-de,cold,3,250,0.184209,0.902083,0.427021,0.999708,4.724
scipy-de,cold,3,500,0.184209,0.902083,0.427021,0.999708,9.369
scipy-de,cold,3,1000,0.160600,0.954271,0.427021,0.999708,19.030
scipy-de,cold,3,2000,0.111878,0.966042,0.427021,0.999708,37.231
opt-ga,cold,3,125,0.254386,0.893583,0.427021,0.999708,2.389
opt-ga,cold,3,250,0.158340,0.963500,0.427021,0.999708,4.772
opt-ga,cold,3,500,0.027320,0.996146,0.427021,0.999708,9.499
opt-ga,cold,3,1000,0.010115,0.999667,0.427021,0.999708,19.354
opt-ga,cold,3,2000,0.004135,0.999771,0.427021,0.999708,39.243
opt-pso,cold,3,125,0.254386,0.893583,0.427021,0.999708,2.422
opt-pso,cold,3,250,0.254386,0.893583,0.427021,0.999708,4.800
opt-pso,cold,3,500,0.152559,0.996000,0.427021,0.999708,9.877
opt-pso,cold,3,1000,0.152559,0.996000,0.427021,0.999708,19.465
