seed,family,condition,detector,auroc,fpr@95tpr,n_pos,n_neg,feat_ms,fit_ms,score_ms_per_1k,n_mfs
3,TriviaQA,matched,FIS · PCA (64 comp),0.5283366370005377,1.0,353,353,94.47759999602567,1066.262700012885,3.468696871922792,24.0
3,TriviaQA,raw,Mahalanobis · stats,0.6331975741294047,0.9291784702549575,1974,353,0.8288999961223453,1.2202000070828944,0.6629136238598554,
3,TriviaQA,matched,Mahalanobis · stats,0.655755202272709,0.9121813031161473,353,353,0.8288999961223453,1.2202000070828944,1.0456090707928152,
3,TriviaQA,raw,IsolationForest · stats,0.6153666216049436,0.9490084985835694,1974,353,0.8288999961223453,98.79709999950137,3.985775671967357,
3,TriviaQA,matched,IsolationForest · stats,0.626359251739441,0.9376770538243626,353,353,0.8288999961223453,98.79709999950137,6.259490093400982,
3,TriviaQA,raw,OneClassSVM · centroid,0.5003142839921817,0.943342776203966,1974,353,1136.9188999960897,6.94350000412669,4.135539318380063,
3,TriviaQA,matched,OneClassSVM · centroid,0.5184697734513558,0.9178470254957507,353,353,1136.9188999960897,6.94350000412669,4.655524076519286,
3,TriviaQA,raw,perplexity,0.6487424335052567,0.8243626062322946,1974,353,0.0,0.0,0.17584873302141305,
3,TriviaQA,matched,perplexity,0.6693898514553523,0.7790368271954674,353,353,0.0,0.0,0.30297450272751597,
3,TriviaQA,raw,mean entropy,0.6501717798806582,0.8441926345609065,1974,353,0.0,0.0,0.14018049420805695,
3,TriviaQA,matched,mean entropy,0.6735789549711497,0.8045325779036827,353,353,0.0,0.0,0.22762039842522008,
3,TriviaQA,raw,n_tokens (control),0.5661933750656551,0.9036827195467422,1974,353,0.0,0.0,0.10515685458589533,
3,TriviaQA,matched,n_tokens (control),0.49999999999999994,0.9490084985835694,353,353,0.0,0.0,0.20949007242801929,
4,FalsePremise,raw,FIS · centroid (PCA-free),0.8774965578362637,0.5580736543909348,716,353,1181.91040000238,998.713900000439,2.4631431217804565,32.0
4,FalsePremise,matched,FIS · centroid (PCA-free),0.9055013309671694,0.5217391304347826,161,161,1181.91040000238,998.713900000439,6.219254653345539,32.0
4,FalsePremise,raw,FIS · PCA (64 comp),0.6990599332141105,0.623229461756374,716,353,91.07759999460541,1079.2902999965008,0.8702525832856699,25.0
4,FalsePremise,matched,FIS · PCA (64 comp),0.5517148258169052,0.6708074534161491,161,161,91.07759999460541,1079.2902999965008,2.0909938029944897,25.0
4,FalsePremise,raw,Mahalanobis · stats,0.8253319511924921,0.6628895184135978,716,353,0.9238999919034541,1.44680000084918,0.47745556695608055,
4,FalsePremise,matched,Mahalanobis · stats,0.8062960533930019,0.7204968944099379,161,161,0.9238999919034541,1.44680000084918,1.056521739781782,
4,FalsePremise,raw,IsolationForest · stats,0.7394400746989094,0.6685552407932012,716,353,0.9238999919034541,88.05129998654593,5.40542563998948,
4,FalsePremise,matched,IsolationForest · stats,0.712163882566259,0.8819875776397516,161,161,0.9238999919034541,88.05129998654593,9.95062109949183,
4,FalsePremise,raw,OneClassSVM · centroid,0.8384517384905121,0.4702549575070821,716,353,1181.91040000238,7.917299997643568,3.996071098280863,
4,FalsePremise,matched,OneClassSVM · centroid,0.8064117896686085,0.5031055900621118,161,161,1181.91040000238,7.917299997643568,6.130434779135036,
4,FalsePremise,raw,perplexity,0.7348267839903777,0.5779036827195467,716,353,0.0,0.0,0.30926099145947017,
4,FalsePremise,matched,perplexity,0.5948458778596505,0.6583850931677019,161,161,0.0,0.0,0.6062111865023371,
4,FalsePremise,raw,mean entropy,0.7157722316299239,0.7053824362606232,716,353,0.0,0.0,0.23919550708074286,
4,FalsePremise,matched,mean entropy,0.5774854365186528,0.7267080745341615,161,161,0.0,0.0,0.590062130789232,
4,FalsePremise,raw,n_tokens (control),0.8493064237897036,0.4702549575070821,716,353,0.0,0.0,0.15210477193996966,
4,FalsePremise,matched,n_tokens (control),0.5,0.9503105590062112,161,161,0.0,0.0,0.3381987570160248,
4,TriviaQA,raw,FIS · centroid (PCA-free),0.489596338806754,1.0,1974,353,1181.91040000238,998.713900000439,0.6489901174881209,32.0
4,TriviaQA,matched,FIS · centroid (PCA-free),0.5004012551260342,1.0,353,353,1181.91040000238,998.713900000439,1.3192634636776328,32.0
4,TriviaQA,raw,FIS · PCA (64 comp),0.4909345571752901,1.0,1974,353,91.07759999460541,1079.2902999965008,0.5073055480780951,25.0
4,TriviaQA,matched,FIS · PCA (64 comp),0.4741471322296142,1.0,353,353,91.07759999460541,1079.2902999965008,1.1633144425777004,25.0
4,TriviaQA,raw,Mahalanobis · stats,0.6577777395087985,0.9291784702549575,1974,353,0.9238999919034541,1.44680000084918,0.3149978485123303,
4,TriviaQA,matched,Mahalanobis · stats,0.6349059859239702,0.943342776203966,353,353,0.9238999919034541,1.44680000084918,0.6446175459606135,
4,TriviaQA,raw,IsolationForest · stats,0.6136875701398635,0.9291784702549575,1974,353,0.9238999919034541,88.05129998654593,4.491104429598128,
4,TriviaQA,matched,IsolationForest · stats,0.6004301454951086,0.9631728045325779,353,353,0.9238999919034541,88.05129998654593,7.090934855822558,
4,TriviaQA,raw,OneClassSVM · centroid,0.527592412409482,0.9461756373937678,1974,353,1181.91040000238,7.917299997643568,4.1667812673069236,
4,TriviaQA,matched,OneClassSVM · centroid,0.5067531237711562,0.9518413597733711,353,353,1181.91040000238,7.917299997643568,4.950141636938353,
4,TriviaQA,raw,perplexity,0.6822430979504092,0.7903682719546742,1974,353,0.0,0.0,0.16076493184640522,
