seed,condition,detector,auroc,fpr95,fpr90,fpr80,n_params,train_ms,band_lo,band_hi
3,length+template,mean entropy,0.8498192148760332,0.5511363636363636,0.4659090909090909,0.3068181818181818,0,1914.9338999995962,0.09985054599117045,0.18011341839075645
3,length+template+entropy,FIS single pass,0.8531045427494546,0.7253521126760564,0.45774647887323944,0.2323943661971831,83,1914.9338999995962,0.09985054599117045,0.18011341839075645
3,length+template+entropy,FIS cascade (2 pass),0.8479220392779212,0.7253521126760564,0.5140845070422535,0.29577464788732394,110,1914.9338999995962,0.09985054599117045,0.18011341839075645
3,length+template+entropy,Mahalanobis · stats,0.7951299345367983,0.6338028169014085,0.5563380281690141,0.36619718309859156,209,1914.9338999995962,0.09985054599117045,0.18011341839075645
3,length+template+entropy,mean entropy,0.6416881571116841,0.6830985915492958,0.5845070422535211,0.5211267605633803,0,1914.9338999995962,0.09985054599117045,0.18011341839075645
4,length+template,FIS single pass,0.8886306001690618,0.4010989010989011,0.3516483516483517,0.16483516483516483,83,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template,FIS cascade (2 pass),0.8749245260234271,0.6318681318681318,0.46153846153846156,0.16483516483516483,114,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template,Mahalanobis · stats,0.8725697379543534,0.5384615384615384,0.3791208791208791,0.18681318681318682,209,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template,mean entropy,0.8663808718753774,0.510989010989011,0.41208791208791207,0.18681318681318682,0,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template+entropy,FIS single pass,0.8335991743291423,0.6164383561643836,0.3835616438356164,0.3219178082191781,83,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template+entropy,FIS cascade (2 pass),0.8096031150309627,0.6438356164383562,0.6027397260273972,0.3493150684931507,114,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template+entropy,Mahalanobis · stats,0.794004503659223,0.5547945205479452,0.5068493150684932,0.3493150684931507,209,1656.9897000008496,0.11345632746930308,0.1820299484433163
4,length+template+entropy,mean entropy,0.6588478138487521,0.7328767123287672,0.636986301369863,0.4657534246575342,0,1656.9897000008496,0.11345632746930308,0.1820299484433163
5,length+template,FIS single pass,0.8710030864197531,0.6,0.45,0.17777777777777778,79,1685.1523000077577,0.10552405714527266,0.1793258050799876
5,length+template,FIS cascade (2 pass),0.8700462962962964,0.6611111111111111,0.42777777777777776,0.17777777777777778,104,1685.1523000077577,0.10552405714527266,0.1793258050799876
5,length+template,Mahalanobis · stats,0.8433333333333333,0.7111111111111111,0.46111111111111114,0.28888888888888886,209,1685.1523000077577,0.10552405714527266,0.1793258050799876
5,length+template,mean entropy,0.8346296296296296,0.5611111111111111,0.4666666666666667,0.3333333333333333,0,1685.1523000077577,0.10552405714527266,0.1793258050799876
5,length+template+entropy,FIS single pass,0.8233506763787721,0.7935483870967742,0.5806451612903226,0.2645161290322581,79,1685.1523000077577,0.10552405714527266,0.1793258050799876
