features,K,top_n,silhouette,detector,family,mfs,auroc,auprc,fpr@95tpr
rawdim,1,32,,Mahalanobis,FalsePremise,44,0.7482670486017693,0.8610179662123258,0.6657223796033994
rawdim,1,32,,FIS T=product/S=product,TriviaQA,44,0.5234242030245888,0.858972815755773,0.9518413597733711
rawdim,1,32,,FIS T=product/S=product,FalsePremise,44,0.7522710367638913,0.851931632191368,0.6572237960339944
rawdim,1,32,,FIS T=hamacher/S=hamacher,TriviaQA,44,0.5286701625379222,0.8644618197023826,0.9376770538243626
rawdim,1,32,,FIS T=hamacher/S=hamacher,FalsePremise,44,0.7657825185560321,0.8708097914467768,0.6062322946175638
rawdim,1,32,,FIS T=dombi2/S=einstein,TriviaQA,44,0.5301396913415477,0.8649655083681766,0.9461756373937678
rawdim,1,32,,FIS T=dombi2/S=einstein,FalsePremise,44,0.7821624701283493,0.8766571696711813,0.5014164305949008
rawdim,2,8,0.19208379089832306,Mahalanobis,TriviaQA,21,0.5422604337980144,0.8681141544719448,0.9461756373937678
rawdim,2,8,0.19208379089832306,Mahalanobis,FalsePremise,21,0.6884762688527704,0.8211004584104087,0.6288951841359773
rawdim,2,8,0.19208379089832306,FIS T=product/S=product,TriviaQA,21,0.534165109597573,0.8624086882259796,0.9320113314447592
rawdim,2,8,0.19208379089832306,FIS T=product/S=product,FalsePremise,21,0.69596198585152,0.8299703137909874,0.7875354107648725
rawdim,2,8,0.19208379089832306,FIS T=hamacher/S=hamacher,TriviaQA,21,0.5377241246688538,0.8641301280852836,0.9263456090651558
rawdim,2,8,0.19208379089832306,FIS T=hamacher/S=hamacher,FalsePremise,21,0.7091885989206641,0.845851557659135,0.7903682719546742
rawdim,2,8,0.19208379089832306,FIS T=dombi2/S=einstein,TriviaQA,21,0.5361871467892805,0.8636170788895067,1.0
rawdim,2,8,0.19208379089832306,FIS T=dombi2/S=einstein,FalsePremise,21,0.7034516593603114,0.8450434032581291,1.0
rawdim,2,16,0.1754768192768097,Mahalanobis,TriviaQA,38,0.5591069168309841,0.8757919242284132,0.9291784702549575
rawdim,2,16,0.1754768192768097,Mahalanobis,FalsePremise,38,0.6178644341399339,0.7911374876381302,0.7025495750708215
rawdim,2,16,0.1754768192768097,FIS T=product/S=product,TriviaQA,38,0.5466474939080568,0.8694407180549111,0.9405099150141643
rawdim,2,16,0.1754768192768097,FIS T=product/S=product,FalsePremise,38,0.6459516989254119,0.8233622048626975,0.8101983002832861
rawdim,2,16,0.1754768192768097,FIS T=hamacher/S=hamacher,TriviaQA,38,0.5454420210613328,0.8719769328449929,0.9518413597733711
rawdim,2,16,0.1754768192768097,FIS T=hamacher/S=hamacher,FalsePremise,38,0.6959145077310206,0.8422412203704593,0.6685552407932012
rawdim,2,16,0.1754768192768097,FIS T=dombi2/S=einstein,TriviaQA,38,0.5428201176197077,0.871814316187384,0.9575070821529745
rawdim,2,16,0.1754768192768097,FIS T=dombi2/S=einstein,FalsePremise,38,0.7290779748999003,0.854385234154759,0.5864022662889519
rawdim,2,32,0.17906780540943146,Mahalanobis,TriviaQA,75,0.5789527311135412,0.8825868557123704,0.9291784702549575
rawdim,2,32,0.17906780540943146,Mahalanobis,FalsePremise,75,0.6307824394258312,0.8235606706944227,0.7847025495750708
rawdim,2,32,0.17906780540943146,FIS T=product/S=product,TriviaQA,75,0.5435103943331295,0.8674878183853583,0.9320113314447592
rawdim,2,32,0.17906780540943146,FIS T=product/S=product,FalsePremise,75,0.6401198031240602,0.8137463643017372,0.7762039660056658
rawdim,2,32,0.17906780540943146,FIS T=hamacher/S=hamacher,TriviaQA,75,0.5510331189313771,0.8723418482458265,0.9348441926345609
rawdim,2,32,0.17906780540943146,FIS T=hamacher/S=hamacher,FalsePremise,75,0.6576392295883646,0.8272606234937494,0.7308781869688386
rawdim,2,32,0.17906780540943146,FIS T=dombi2/S=einstein,TriviaQA,75,0.5527480475645143,0.8731789260503555,0.9348441926345609
rawdim,2,32,0.17906780540943146,FIS T=dombi2/S=einstein,FalsePremise,75,0.6530417649199993,0.8241969758420482,0.7365439093484419
rawdim,4,8,0.1502240151166916,Mahalanobis,TriviaQA,34,0.5284606398764677,0.8650671286473048,0.9546742209631728
rawdim,4,8,0.1502240151166916,Mahalanobis,FalsePremise,34,0.5751182996502444,0.8041011427230043,0.9490084985835694
rawdim,4,8,0.1502240151166916,FIS T=product/S=product,TriviaQA,34,0.5250558966278333,0.8657277551171333,0.9603399433427762
rawdim,4,8,0.1502240151166916,FIS T=product/S=product,FalsePremise,34,0.5560835298399986,0.7983015771786164,0.9688385269121813
rawdim,4,8,0.1502240151166916,FIS T=hamacher/S=hamacher,TriviaQA,34,0.5245148689335297,0.8639254823897593,0.9603399433427762
rawdim,4,8,0.1502240151166916,FIS T=hamacher/S=hamacher,FalsePremise,34,0.5681686897621346,0.807424440549129,0.9886685552407932
rawdim,4,8,0.1502240151166916,FIS T=dombi2/S=einstein,TriviaQA,34,0.5262663922780854,0.8638975000611326,1.0
rawdim,4,8,0.1502240151166916,FIS T=dombi2/S=einstein,FalsePremise,34,0.5829244939623656,0.820956937944372,1.0
