seed,condition,metric,mf,tnorm,sconorm,de_morgan,auroc,fpr95,n_params,n_mfs,train_ms,samples_per_sec
0,length+template+entropy,wasserstein,trapezoid,min/max,hamacher,False,0.51896731293062,0.9556962025316456,55,27,7662.183299995377,355775.7275687477
0,length+template+entropy,-,Mahalanobis,-,-,True,0.7475965390161834,0.810126582278481,209,0,1.0867999953916296,
1,length+template,bhattacharyya,gaussian,min/max,min/max,True,0.893811855933068,0.6363636363636364,77,38,1059.9236999987625,375142.1026028312
1,length+template,bhattacharyya,gaussian,probability,probability,True,0.8818998061422304,0.5757575757575758,77,38,1059.9236999987625,471597.0039562078
1,length+template,bhattacharyya,gaussian,luk,luk,True,,,77,38,1059.9236999987625,513685.3088637153
1,length+template,bhattacharyya,gaussian,hamacher,hamacher,True,0.8919370472400776,0.5606060606060606,77,38,1059.9236999987625,389763.7759758452
1,length+template,bhattacharyya,gaussian,einstein,einstein,True,0.8782777267625751,0.6060606060606061,77,38,1059.9236999987625,516971.2811389568
1,length+template,bhattacharyya,gaussian,hamacher,einstein,False,0.8922813998571575,0.5959595959595959,77,38,1059.9236999987625,493704.0295263278
1,length+template,bhattacharyya,gaussian,probability,einstein,False,0.881887052341598,0.5858585858585859,77,38,1059.9236999987625,495000.00350075425
1,length+template,bhattacharyya,gaussian,min/max,hamacher,False,0.8936843179267421,0.5909090909090909,77,38,1059.9236999987625,362471.3974939644
1,length+template,bhattacharyya,trapezoid,min/max,min/max,True,0.8469543924089378,0.5808080808080808,53,26,13794.917299994268,510046.36534536
1,length+template,bhattacharyya,trapezoid,probability,probability,True,0.8479364350576473,0.6161616161616161,53,26,13794.917299994268,498552.1785718388
1,length+template,bhattacharyya,trapezoid,luk,luk,True,,,53,26,13794.917299994268,487985.2158181023
1,length+template,bhattacharyya,trapezoid,hamacher,hamacher,True,0.8512779308233854,0.6060606060606061,53,26,13794.917299994268,367585.6321719951
1,length+template,bhattacharyya,trapezoid,einstein,einstein,True,0.8459468421589633,0.6464646464646465,53,26,13794.917299994268,466815.9858330938
1,length+template,bhattacharyya,trapezoid,hamacher,einstein,False,0.8525022956841137,0.601010101010101,53,26,13794.917299994268,435117.0185592322
