family,feature,auroc,auroc_entmatch,rho_entropy,entmatch_std
curve,C12_curv,0.534583614321319,0.644583196574836,0.181587596802049,0.10560969605737722
curve,C13_curv,0.5999557267540554,0.6442169780372992,0.31780119733844026,0.015491404252789802
curve,C14_curv,0.5344997877175234,0.5539144057089131,0.0689808482625243,0.029529213963867137
curve,C15_curv,0.6373444113159508,0.5831285916733557,0.22032265247964747,0.03544206237856726
curve,C16_curv,0.723985851209849,0.5547987330736912,0.5111359838248245,0.02304056278392084
curve,C17_curv,0.6677626028200401,0.6486244812636739,0.3414433167237751,0.06920170779349988
curve,C18_curv,0.6588753855098384,0.5465919261601845,0.350468095656572,0.03870952991239852
curve,C19_curv,0.5950026022721071,0.5635533675995053,0.31451484092881915,0.02920675187967664
curve,C20_curv,0.5283028480781718,0.5437555032745202,0.08467773799716123,0.0456065628171788
curve,C21_curv,0.6303433406697927,0.6756165832152562,0.12700215205829662,0.06885839555758236
curve,C22_curv,0.5714569728943786,0.7073229548519722,0.024076425006483694,0.06502379842170072
curve,C23_curv,0.563959376630904,0.665609036426962,0.027717122435301323,0.06243789278328798
curve,C24_curv,0.5719917215002206,0.6052298798333581,0.09931814362271443,0.05526869188533958
curve,C25_curv,0.7988986707658386,0.6032739184837411,0.4370813875935985,0.08022619669169834
curve,C26_curv,0.5211730594749975,0.6506784456153967,0.03555810110411631,0.07837382649780586
curve,C27_curv,0.6976036473605651,0.6202110086115894,0.2988499821770515,0.09291024846065543
curve,C28_curv,0.5922103357839,0.5745855142439851,0.1610940281055694,0.06145034930762229
curve,C29_curv,0.6908718562890293,0.714093563228749,0.26825808511055504,0.07705084397824892
curve,C30_curv,0.8464904631385863,0.875665885190368,0.4359045528596845,0.050964479817580496
delta,D00_cos,0.633637944607788,0.5956258446063192,0.26293626876197945,0.07369507654476361
delta,D00_norm,0.5733164731547882,0.5868821924001066,0.04806773298336724,0.013670305594746626
delta,D01_cos,0.6482046527401812,0.6498957498650928,0.17205276116241627,0.09377196254288844
delta,D01_norm,0.6295384164748024,0.7399665784924018,0.07903397726997827,0.07695097751244594
delta,D02_cos,0.5365502008096884,0.6102026348304723,0.018480113323961402,0.057293488020024826
delta,D02_norm,0.5523594567915923,0.7180033691165293,0.035705415557582755,0.09685522807727555
delta,D03_cos,0.5538608338432005,0.6411643378780912,0.11486484094158303,0.03671690325885921
delta,D03_norm,0.5919724847629111,0.6848176349957549,0.11818718128220979,0.04861625992759599
delta,D04_cos,0.5244253612650758,0.5195637840064672,0.05871546934000885,0.016132872991905932
delta,D04_norm,0.5241436846880463,0.5501010424183597,0.014921402442642957,0.036894719955029256
delta,D05_cos,0.6075116106321978,0.5864056377859184,0.3425081892529266,0.052351569979203406
delta,D05_norm,0.6122964540866125,0.6056592951312094,0.33389528127256257,0.05771317863310108
delta,D06_cos,0.6250156843989754,0.5564356920979321,0.289838457741488,0.049351220068841344
delta,D06_norm,0.6195289190126938,0.5556499966850645,0.2879467224476542,0.05429337343547257
delta,D07_cos,0.6478781411224801,0.5499619074047997,0.27494019653859025,0.0418730021706235
delta,D07_norm,0.6089508362054465,0.5256221549705855,0.2601845476759365,0.017149750019592562
delta,D08_cos,0.6097011322231395,0.6007015739930965,0.1367583645333437,0.05476594319842978
delta,D08_norm,0.6259752259050541,0.5298975743853638,0.27203471201709334,0.017124593101899656
delta,D09_cos,0.5611740215325723,0.6014125658384946,0.17429111703895334,0.0512655795626915
delta,D09_norm,0.5519872413295576,0.6364629061683845,0.07034047012710752,0.10512957288513045
delta,D10_cos,0.6103446733892868,0.5552098043649528,0.23711794887161894,0.05989667538521685
delta,D10_norm,0.6000491085442846,0.5388437564084689,0.23745617535659208,0.04331403323809769
delta,D11_cos,0.6438758799119022,0.6217836529843402,0.26982787177633855,0.06509255628014711
delta,D11_norm,0.6193926770178104,0.5703418890760853,0.23614579605314556,0.03620916908128258
delta,D12_cos,0.6165208020377395,0.5547519006152176,0.27393923504043427,0.020962390037666007
delta,D12_norm,0.6346006548032228,0.5322410935890773,0.3128527413766486,0.026932471634311228
delta,D13_cos,0.5735704587857656,0.6451349589319426,0.04493577547306881,0.08237105618133088
delta,D13_norm,0.5510585263556171,0.6123053757992349,0.03305807969111073,0.07442073857723877
delta,D14_cos,0.5331416029475897,0.5364226543964843,0.10783267199150898,0.0038373239872804502
delta,D14_norm,0.6465757695123924,0.5483154016914806,0.3279886959873114,0.024905447239522566
delta,D15_cos,0.5213219272531091,0.5378524227013001,0.03244435688794295,0.02600599391638169
delta,D15_norm,0.5169140096973919,0.5457566082762145,0.03176133037908252,0.034870544468237445
delta,D16_cos,0.5966556268799452,0.5775101264835903,0.1725865653706091,0.05683215230132999
delta,D16_norm,0.5915534623189626,0.606881679026176,0.13419077763657827,0.05926640175858262
delta,D17_cos,0.6021847370102817,0.6759880872525365,0.053978800222639914,0.048215799112543534
delta,D17_norm,0.5672345156865247,0.6630993373680834,0.06001999711357091,0.015462401679311462
delta,D18_cos,0.6214015604079147,0.6734078529601886,0.14141267365517274,0.0652071624794587
delta,D18_norm,0.7094119143148732,0.6911081413943928,0.28970421605028096,0.0469498521530499
delta,D19_cos,0.5593708530790721,0.5613196607103219,0.052570393767760515,0.0568117384298713
delta,D19_norm,0.6449099153309943,0.6742283502622537,0.16185071916972435,0.04546016013495658
delta,D20_cos,0.5587414908284866,0.6439120904481993,0.1015143922019139,0.07544733118885602
