model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
qwen,3,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.7417290497162439,0.7348659464799079,0.8629893238434164,0.5380282671192107
qwen,3,length+template,single statistic,38,ent_max_+,0.8339864904110619,0.8220830536594015,0.6245551601423488,0.7162428287382379
qwen,3,length+template+entropy,FIS,120,w1_t8_k3_einstein,0.6935810660753517,0.6663062187191532,0.8819599109131403,0.6052202122013284
qwen,3,length+template+entropy,Mahalanobis,120,mcd_sNone_k8,0.7125812744933904,0.6935531073754595,0.8641425389755011,0.6717327791032783
qwen,3,length+template+entropy,IsolationForest,96,n50_mf0.7_cauto_k8,0.7071316552833973,0.663042346020109,0.8173719376391982,0.6114304988566525
qwen,3,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.7417290497162439,0.7231214130882289,0.8485523385300668,0.5370161854355882
qwen,3,length+template+entropy,single statistic,38,ent_max_+,0.8339864904110619,0.7668215931468594,0.7505567928730512,0.5445657511619486
gemma,0,length+template,FIS,120,w1_t19_k3_probability,0.6459270624480415,0.6280731942882294,0.8916083916083916,0.6060061005428139
gemma,0,length+template,Mahalanobis,120,empirical_s0.05_k6,0.6711055552838769,0.6623459582375666,0.8881118881118881,0.5929507555381681
gemma,0,length+template,IsolationForest,96,n50_mf1.0_cauto_k8,0.6514254975793438,0.6305626191989828,0.8286713286713286,0.5381008851288572
gemma,0,length+template,OneClassSVM,100,nu0.2_g1.0_rbf_k8,0.6640911536016431,0.6466453127292289,0.9125874125874126,0.564700596606191
gemma,0,length+template,single statistic,38,ent_max_+,0.8011241380996625,0.7806585896620861,0.6590909090909091,0.5411939459142256
gemma,0,length+template+entropy,FIS,120,w1_t19_k3_probability,0.6459270624480415,0.635570788311849,0.926873857404022,0.5975588969583134
gemma,0,length+template+entropy,Mahalanobis,120,empirical_s0.05_k6,0.6711055552838769,0.662286228021216,0.9049360146252285,0.6127957380961133
gemma,0,length+template+entropy,IsolationForest,96,n50_mf1.0_cauto_k8,0.6514254975793438,0.6343091284018862,0.8811700182815356,0.5569016974756775
gemma,0,length+template+entropy,OneClassSVM,100,nu0.2_g1.0_rbf_k8,0.6640911536016431,0.6607922890020019,0.9305301645338209,0.5738731121055851
gemma,0,length+template+entropy,single statistic,38,ent_max_+,0.8011241380996625,0.7615847116898222,0.7440585009140768,0.5108068273347393
gemma,1,length+template,FIS,120,w1_t19_k4_einstein,0.658750122255367,0.6240662746344565,0.9230769230769231,0.5833414836911341
gemma,1,length+template,Mahalanobis,120,empirical_s0.1_k6,0.6890618123135606,0.6587883270575579,0.8583916083916084,0.5895826201770258
gemma,1,length+template,IsolationForest,96,n50_mf1.0_cauto_k8,0.6514835688786738,0.6165368722186904,0.8723776223776224,0.5456532104259377
gemma,1,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.651865616900582,0.6278821702772752,0.8776223776223776,0.5472883759597047
gemma,1,length+template,single statistic,38,ent_max_+,0.7888221917942198,0.7688349674800725,0.6870629370629371,0.5313798963274488
gemma,1,length+template+entropy,FIS,120,w1_t19_k4_einstein,0.658750122255367,0.624301460669827,0.9068100358422939,0.5617187600364846
gemma,1,length+template+entropy,Mahalanobis,120,empirical_s0.1_k6,0.6890618123135606,0.6591706170270166,0.8745519713261649,0.5988585706761219
gemma,1,length+template+entropy,IsolationForest,96,n50_mf1.0_cauto_k8,0.6514835688786738,0.6036985650235738,0.8888888888888888,0.5636618234606442
gemma,1,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.651865616900582,0.6302270011947431,0.8888888888888888,0.5541038784188281
gemma,1,length+template+entropy,single statistic,38,ent_max_+,0.7888221917942198,0.7571845171567683,0.7562724014336918,0.5164630464665151
gemma,2,length+template,FIS,120,w1_t19_k4_einstein,0.6748343439777007,0.6579470606340413,0.8771929824561403,0.608421052631579
gemma,2,length+template,Mahalanobis,120,empirical_s0.05_k6,0.6887072717492297,0.6856848261003385,0.843859649122807,0.6125761772853184
gemma,2,length+template,IsolationForest,96,n200_mf0.7_cauto_k8,0.660784145924006,0.6456417359187443,0.8280701754385965,0.5607325330871037
