seed,condition,detector,auroc,fpr95,n_neg,n_pos,train_ms,n_params,samples_per_sec,structure
5,raw,Mahalanobis · stats,0.8607736468372804,0.5691489361702128,188,1627,1.360000009299256,209,1396691.0353017482,19f
5,raw,mean entropy,0.8709967437785245,0.5531914893617021,188,1627,0.0,0,2506906.0852519935,threshold
5,raw,perplexity,0.8444892701617648,0.5851063829787234,188,1627,0.0,0,7098161.989841545,threshold
5,raw,n_tokens (control),0.4779371379251722,0.9521276595744681,188,1627,0.0,0,7846951.995090223,threshold
5,length,FIS · centroid,0.5986819285466527,1.0,186,186,749.2092000029515,51,328650.9397021294,2R/25MF
5,length,FIS · delta,0.5371719273904498,1.0,186,186,792.7999999956228,45,373044.52032027114,2R/22MF
5,length,FIS · deltaref,0.5954734651404787,1.0,186,186,749.3230999971274,63,320055.0624763561,2R/31MF
5,length,FIS · geom,0.6833159902878946,1.0,186,186,768.4571999998298,49,354454.50133015873,2R/24MF
5,length,FIS · curve,0.5507573129841601,1.0,186,186,729.2655000055674,55,358554.2174387712,2R/27MF
5,length,FIS · agg,0.6651636027286392,1.0,186,186,714.2762000003131,37,401944.8928767094,2R/18MF
5,length,OneClassSVM · deltaref,0.6583130997803215,0.8279569892473119,186,186,2.4645999947097152,343,270113.2743379753,38SV
5,length,Mahalanobis · stats,0.8585963695224882,0.5967741935483871,186,186,1.360000009299256,209,814895.9508026043,19f
5,length,mean entropy,0.8417158052954098,0.6129032258064516,186,186,0.0,0,2179261.803251803,threshold
5,length,perplexity,0.8161637183489421,0.5967741935483871,186,186,0.0,0,2282208.5294568697,threshold
5,length,n_tokens (control),0.49999999999999994,0.9516129032258065,186,186,0.0,0,2743362.84522482,threshold
5,length+template,FIS · centroid,0.6653395061728395,1.0,180,180,749.2092000029515,51,318979.2681748181,2R/25MF
5,length+template,FIS · delta,0.549074074074074,1.0,180,180,792.7999999956228,45,363342.75626583106,2R/22MF
5,length+template,FIS · deltaref,0.5784259259259259,1.0,180,180,749.3230999971274,63,331583.30982795364,2R/31MF
5,length+template,FIS · geom,0.5841975308641976,1.0,180,180,768.4571999998298,49,337489.4526916514,2R/24MF
5,length+template,FIS · curve,0.4937654320987654,1.0,180,180,729.2655000055674,55,337806.13846077083,2R/27MF
5,length+template,FIS · agg,0.7024845679012346,1.0,180,180,714.2762000003131,37,281646.0620978556,2R/18MF
5,length+template,OneClassSVM · deltaref,0.6014506172839507,0.8611111111111112,180,180,2.4645999947097152,343,376136.2459589015,38SV
5,length+template,Mahalanobis · stats,0.8510185185185184,0.6166666666666667,180,180,1.360000009299256,209,959999.9916553498,19f
5,length+template,mean entropy,0.8161111111111111,0.6555555555555556,180,180,0.0,0,2032749.9139464952,threshold
5,length+template,perplexity,0.795679012345679,0.6444444444444445,180,180,0.0,0,2696629.2558858953,threshold
5,length+template,n_tokens (control),0.5,0.9555555555555556,180,180,0.0,0,3002502.180051739,threshold
5,length+template+entropy,FIS · centroid,0.626264308012487,1.0,155,155,749.2092000029515,51,360339.4154829062,2R/25MF
5,length+template+entropy,FIS · delta,0.5157544224765869,1.0,155,155,792.7999999956228,45,400465.0557526714,2R/22MF
5,length+template+entropy,FIS · deltaref,0.5783558792924037,1.0,155,155,749.3230999971274,63,388373.8364034769,2R/31MF
5,length+template+entropy,FIS · geom,0.6176899063475545,1.0,155,155,768.4571999998298,49,420966.86307523266,2R/24MF
5,length+template+entropy,FIS · curve,0.46426638917793966,1.0,155,155,729.2655000055674,55,406397.481827323,2R/27MF
5,length+template+entropy,FIS · agg,0.6626847034339229,1.0,155,155,714.2762000003131,37,477805.17350097164,2R/18MF
5,length+template+entropy,OneClassSVM · deltaref,0.6386264308012486,0.8258064516129032,155,155,2.4645999947097152,343,377358.49149266514,38SV
5,length+template+entropy,Mahalanobis · stats,0.8348387096774194,0.5870967741935483,155,155,1.360000009299256,209,829542.4284386095,19f
5,length+template+entropy,mean entropy,0.6271800208116545,0.7677419354838709,155,155,0.0,0,2316890.8787072855,threshold
5,length+template+entropy,perplexity,0.6130697190426638,0.7419354838709677,155,155,0.0,0,2875695.5745117413,threshold
5,length+template+entropy,n_tokens (control),0.5,0.9548387096774194,155,155,0.0,0,2257829.60757946,threshold
6,raw,FIS · centroid,0.5735755665694595,1.0,188,1627,781.8248999974458,47,1436144.9546673528,2R/23MF
6,raw,FIS · delta,0.5351776536897306,1.0,188,1627,777.8701999923214,45,1504226.7642821271,2R/22MF
6,raw,FIS · deltaref,0.5937079077796231,1.0,188,1627,834.020900001633,63,895809.6824371477,2R/31MF
6,raw,FIS · geom,0.6555205377342452,1.0,188,1627,778.4696999879088,45,1528035.0314738154,2R/22MF
6,raw,FIS · curve,0.5461003805463652,1.0,188,1627,741.8357999995351,45,1608472.1843741601,2R/22MF
6,raw,FIS · agg,0.6272868744196994,1.0,188,1627,725.3102999966359,39,1731374.5935838756,2R/19MF
6,raw,OneClassSVM · deltaref,0.5861917901371798,0.8670212765957447,188,1627,1.8643000075826421,352,540066.0564193778,39SV
6,raw,Mahalanobis · stats,0.854846408348481,0.5425531914893617,188,1627,0.7766000053379685,209,2837267.4864247143,19f
6,raw,mean entropy,0.8767735945285018,0.526595744680851,188,1627,0.0,0,4589127.694761381,threshold
6,raw,perplexity,0.8526919405249187,0.5531914893617021,188,1627,0.0,0,5262394.791884411,threshold
6,raw,n_tokens (control),0.46250441355320465,0.973404255319149,188,1627,0.0,0,6456776.917786338,threshold
6,length,FIS · centroid,0.5830878778346535,1.0,187,187,781.8248999974458,47,324146.30024003977,2R/23MF
6,length,FIS · delta,0.538762904286654,1.0,187,187,777.8701999923214,45,335335.78586010495,2R/22MF
6,length,FIS · deltaref,0.6232663215991306,1.0,187,187,834.020900001633,63,298745.9059648706,2R/31MF
6,length,FIS · geom,0.612370957133461,1.0,187,187,778.4696999879088,45,346488.78627947194,2R/22MF
6,length,FIS · curve,0.5341588263890875,1.0,187,187,741.8357999995351,45,353999.05431508913,2R/22MF
6,length,FIS · agg,0.624009837284452,1.0,187,187,725.3102999966359,39,375012.5346556642,2R/19MF
6,length,OneClassSVM · deltaref,0.5896365352169064,0.8288770053475936,187,187,1.8643000075826421,352,242841.37421465624,39SV
6,length,Mahalanobis · stats,0.8446624152821071,0.6363636363636364,187,187,0.7766000053379685,209,707395.5052131886,19f
6,length,mean entropy,0.8648517258142926,0.5080213903743316,187,187,0.0,0,1780952.3950903222,threshold
6,length,perplexity,0.8417455460550775,0.5454545454545454,187,187,0.0,0,2004287.3015479776,threshold
6,length,n_tokens (control),0.5,0.946524064171123,187,187,0.0,0,2196124.465209772,threshold
6,length+template,FIS · centroid,0.5930745079096728,1.0,182,182,781.8248999974458,47,300826.4457403399,2R/23MF
6,length+template,FIS · delta,0.5337217727327618,1.0,182,182,777.8701999923214,45,310871.97615459486,2R/22MF
6,length+template,FIS · deltaref,0.6321096485931651,1.0,182,182,834.020900001633,63,278351.30297232076,2R/31MF
6,length+template,FIS · geom,0.5895121362154329,1.0,182,182,778.4696999879088,45,323153.4115767153,2R/22MF
6,length+template,FIS · curve,0.5321971984059897,1.0,182,182,741.8357999995351,45,346303.8721205766,2R/22MF
6,length+template,FIS · agg,0.6624501871754619,1.0,182,182,725.3102999966359,39,357072.7908946864,2R/19MF
6,length+template,OneClassSVM · deltaref,0.5551865716700881,0.8461538461538461,182,182,1.8643000075826421,352,239442.1798848,39SV
6,length+template,Mahalanobis · stats,0.8483576862697743,0.6208791208791209,182,182,0.7766000053379685,209,702431.5102918156,19f
6,length+template,mean entropy,0.8252928390291028,0.6978021978021978,182,182,0.0,0,1910761.2013010406,threshold
6,length+template,perplexity,0.8104395604395604,0.6758241758241759,182,182,0.0,0,2046093.2960091026,threshold
6,length+template,n_tokens (control),0.5,0.945054945054945,182,182,0.0,0,2150029.6094013113,threshold
6,length+template+entropy,FIS · centroid,0.6071333333333333,1.0,150,150,781.8248999974458,47,237567.3113463973,2R/23MF
6,length+template+entropy,FIS · delta,0.5151333333333332,1.0,150,150,777.8701999923214,45,309310.24042542785,2R/22MF
6,length+template+entropy,FIS · deltaref,0.6370222222222222,1.0,150,150,834.020900001633,63,301993.1556603171,2R/31MF
6,length+template+entropy,FIS · geom,0.590311111111111,1.0,150,150,778.4696999879088,45,354484.22643743065,2R/22MF
6,length+template+entropy,FIS · curve,0.5568,1.0,150,150,741.8357999995351,45,378596.6639385805,2R/22MF
6,length+template+entropy,FIS · agg,0.6728444444444445,1.0,150,150,725.3102999966359,39,409612.2318105779,2R/19MF
