model,template,seed,n,entropy,fis,fusion
gemma,effect,5,70,0.33061224489795915,0.7167346938775511,0.5028571428571428
gemma,element,5,160,0.5784375,0.55921875,0.5734375
gemma,experiment,5,38,0.3739612188365651,0.6343490304709142,0.5041551246537396
gemma,law,5,60,0.62,0.5794444444444444,0.6572222222222223
gemma,paradox,5,80,0.5875000000000001,0.4409375,0.5275000000000001
gemma,reaction,5,70,0.5224489795918368,0.5918367346938775,0.5755102040816327
gemma,researcher,5,198,0.533006836037139,0.6548311396796245,0.6193755739210284
gemma,theorem,5,56,0.7244897959183674,0.6116071428571428,0.7563775510204083
lfm,algorithm,0,156,0.9483892176199868,0.7023339907955294,0.9272682445759369
lfm,conjecture,0,56,0.6926020408163265,0.3698979591836734,0.5452806122448981
lfm,constant,0,52,0.9127218934911243,0.67603550295858,0.8801775147928994
lfm,effect,0,80,0.9524999999999999,0.724375,0.9096875
lfm,element,0,156,0.75,0.5667324128862592,0.6650230111768574
lfm,experiment,0,56,0.5727040816326531,0.5586734693877551,0.5963010204081632
lfm,law,0,44,0.9958677685950413,0.6559917355371901,0.9297520661157025
lfm,paradox,0,70,0.803265306122449,0.6816326530612244,0.7832653061224489
lfm,reaction,0,50,0.6095999999999999,0.6559999999999999,0.6936
lfm,researcher,0,196,0.7746772178259058,0.5333194502290712,0.7002290712203249
lfm,theorem,0,68,0.8737024221453287,0.49394463667820065,0.8062283737024221
lfm,algorithm,1,138,0.9519008611636212,0.6293845830707834,0.915143877336694
lfm,conjecture,1,68,0.7370242214532872,0.5315743944636678,0.6786332179930796
lfm,constant,1,50,0.8864,0.7736000000000001,0.9047999999999999
lfm,effect,1,54,0.9231824417009603,0.6707818930041153,0.8628257887517146
lfm,element,1,154,0.7623545285882949,0.618316748186878,0.7111654579187047
lfm,experiment,1,54,0.588477366255144,0.5185185185185185,0.5555555555555556
lfm,law,1,66,0.977961432506887,0.5904499540863178,0.8714416896235079
lfm,paradox,1,50,0.7984,0.5439999999999999,0.6839999999999999
lfm,reaction,1,70,0.6391836734693878,0.5175510204081633,0.6216326530612245
lfm,researcher,1,186,0.785061856862065,0.4975719736385709,0.7121054457162679
lfm,theorem,1,72,0.8966049382716049,0.3734567901234568,0.712962962962963
lfm,algorithm,2,148,0.9265887509130752,0.5098612125639153,0.835189919649379
lfm,conjecture,2,72,0.7160493827160495,0.5258487654320987,0.6539351851851851
lfm,constant,2,50,0.9312,0.616,0.8815999999999999
lfm,effect,2,80,0.8612500000000001,0.58625,0.7743749999999999
lfm,element,2,124,0.7167013527575442,0.6614203954214359,0.7239854318418314
lfm,experiment,2,56,0.4987244897959183,0.5899234693877551,0.5522959183673469
lfm,law,2,70,0.9657142857142856,0.4897959183673469,0.8244897959183672
lfm,paradox,2,70,0.830204081632653,0.660408163265306,0.7775510204081633
lfm,reaction,2,54,0.6982167352537723,0.5850480109739369,0.710562414266118
lfm,researcher,2,176,0.7609762396694215,0.6143465909090908,0.7592329545454545
lfm,theorem,2,58,0.8632580261593341,0.3983353151010702,0.7211652794292509
lfm,algorithm,3,148,0.9236669101533966,0.40987947406866326,0.7364864864864863
lfm,conjecture,3,70,0.7804081632653062,0.5734693877551019,0.6995918367346938
lfm,constant,3,44,0.9938016528925621,0.7830578512396695,0.9783057851239669
lfm,effect,3,70,0.8587755102040816,0.7657142857142857,0.84
lfm,element,3,154,0.7466689155000843,0.7709563164108618,0.8148085680553212
lfm,experiment,3,60,0.5622222222222222,0.5433333333333333,0.5705555555555555
lfm,law,3,52,0.9881656804733728,0.5369822485207101,0.8713017751479291
lfm,paradox,3,62,0.8022892819979188,0.6711758584807492,0.7726326742976067
lfm,reaction,3,62,0.7127991675338189,0.6004162330905307,0.686264308012487
lfm,researcher,3,182,0.7314334017630721,0.6621784808597995,0.7483395725153966
lfm,theorem,3,60,0.9066666666666667,0.44555555555555554,0.8
lfm,algorithm,4,152,0.9523891966759002,0.5868247922437674,0.8902354570637119
lfm,conjecture,4,64,0.81640625,0.61962890625,0.765625
lfm,constant,4,46,0.9773156899810964,0.7372400756143667,0.9508506616257089
lfm,effect,4,66,0.8420569329660239,0.6868686868686869,0.8163452708907254
lfm,element,4,148,0.7874360847333821,0.5865595325054784,0.7002373995617238
lfm,experiment,4,36,0.6358024691358024,0.6820987654320987,0.7175925925925926
lfm,law,4,70,0.9722448979591837,0.6751020408163265,0.9142857142857144
lfm,paradox,4,62,0.8709677419354838,0.6269510926118627,0.7778355879292405
lfm,reaction,4,60,0.6777777777777777,0.5816666666666667,0.6433333333333334
lfm,researcher,4,190,0.8095290858725762,0.5457063711911357,0.7434349030470915
lfm,theorem,4,70,0.8644897959183674,0.39510204081632655,0.6844897959183673
lfm,algorithm,5,148,0.9399196493791089,0.7268078889700511,0.912527392257122
lfm,conjecture,5,58,0.7693222354340071,0.6230677764565993,0.713436385255648
lfm,constant,5,48,0.9861111111111112,0.9201388888888888,1.0
lfm,effect,5,66,0.8503213957759412,0.7281910009182737,0.8246097337006428
lfm,element,5,158,0.7402659830155423,0.6011857074186828,0.6969235699407146
lfm,experiment,5,38,0.3628808864265928,0.6343490304709142,0.4903047091412742
lfm,law,5,54,0.9684499314128945,0.6536351165980796,0.9046639231824417
lfm,paradox,5,76,0.8628808864265929,0.6236149584487534,0.7752770083102491
