pooling,l2,k,layer,val_tq,val_fp
first,True,64,30,0.4033990167633784,0.25625397329942784
first,True,64,32,0.3530988072211476,0.22820247933884297
mean,False,8,0,0.48179170120659487,0.3892005721551176
mean,False,8,2,0.40544406834300456,0.26119675778766693
mean,False,8,4,0.4423312724509533,0.2725286077558805
mean,False,8,6,0.4275755273095699,0.20176414494596312
mean,False,8,8,0.41675157732338586,0.280506993006993
mean,False,8,10,0.45664807267200885,0.21694214876033058
mean,False,8,12,0.43230461913972557,0.24586776859504128
mean,False,8,14,0.4469164479137883,0.33285918626827715
mean,False,8,16,0.44665020263424526,0.28381277813095995
mean,False,8,18,0.4538805609284333,0.24688095994914175
mean,False,8,20,0.45618754029658287,0.29856166560712016
mean,False,8,22,0.4580771621995026,0.28960187539732996
mean,False,8,24,0.4384671179883946,0.18964558169103624
mean,False,8,26,0.4469639403150041,0.11941751430387794
mean,False,8,28,0.4810764368610113,0.12672838525111252
mean,False,8,30,0.4941900962512665,0.1277614431023522
mean,False,8,32,0.3822605807313254,0.09661474888747615
mean,False,16,0,0.4443302707930368,0.29136602034329306
mean,False,16,2,0.39873468729851713,0.16232914812460264
mean,False,16,4,0.4225326977986552,0.2838604577240941
mean,False,16,6,0.4239114165975868,0.2150945645263827
mean,False,16,8,0.38319171962788984,0.24651541640178
mean,False,16,10,0.42651630284609005,0.21748649078194535
mean,False,16,12,0.41160512802800037,0.2857954545454545
mean,False,16,14,0.4404790688035368,0.3511085505403687
mean,False,16,16,0.4279353182278714,0.2554791799109981
mean,False,16,18,0.44061003269779864,0.24010648442466623
mean,False,16,20,0.45436987657732336,0.34431023521932613
mean,False,16,22,0.42203618633139905,0.1577519071837254
mean,False,16,24,0.3897672584507691,0.12650588048315323
mean,False,16,26,0.40708903242147926,0.20879291163382074
mean,False,16,28,0.43137060191581467,0.10940479974570885
mean,False,16,30,0.45299691443308465,0.0820724729815639
mean,False,16,32,0.3500664893617021,0.08262078830260648
mean,False,32,0,0.4426248618402874,0.20031389065479976
mean,False,32,2,0.3827815579810261,0.1406945327399873
mean,False,32,4,0.40295287602468455,0.22964478703115065
mean,False,32,6,0.3912265704154002,0.2343769866497139
mean,False,32,8,0.3544487427466151,0.23079704386522568
mean,False,32,10,0.40968240536059686,0.17513509218054674
mean,False,32,12,0.385872881551073,0.19495788302606484
mean,False,32,14,0.411658377083909,0.2942307692307692
mean,False,32,16,0.41025087501151336,0.29518436109345203
mean,False,32,18,0.4380684696509165,0.23573585505403685
mean,False,32,20,0.43123819885787973,0.3564605848696758
mean,False,32,22,0.4223643156488901,0.2665170057215511
mean,False,32,24,0.37968159942893986,0.11884535918626826
mean,False,32,26,0.40244772957538916,0.12077240940877304
mean,False,32,28,0.38389403150041446,0.08527097902097902
mean,False,32,30,0.4202185226121396,0.08337571519389701
mean,False,32,32,0.32288788339320257,0.051629052765416406
mean,False,64,0,0.421428859261306,0.15132310870947235
mean,False,64,2,0.38483092705167177,0.16611172917991102
mean,False,64,4,0.39216778345767705,0.22207565162110618
mean,False,64,6,0.38303916827852996,0.24832724094087733
mean,False,64,8,0.35178916827853,0.29140575333757157
mean,False,64,10,0.38025438657087596,0.1734424666242848
mean,False,64,12,0.37480139541309754,0.2273005403687222
mean,False,64,14,0.40676665975868104,0.36536474888747617
mean,False,64,16,0.4183001174357558,0.38246980292434835
mean,False,64,18,0.4329680735930736,0.28220359186268273
mean,False,64,20,0.4588946071658837,0.5397210743801653
mean,False,64,22,0.42878442479506307,0.24735378258105528
mean,False,64,24,0.38291252187528785,0.16899237126509853
mean,False,64,26,0.3842869231831998,0.199256993006993
mean,False,64,28,0.3543192180160265,0.08830657978385252
mean,False,64,30,0.38702996914433085,0.08847743165924984
mean,False,64,32,0.2963583402413189,0.0532581055308328
