model,template,seed,n,entropy,fis,fusion
sl1700,element,4,144,0.8568672839506173,0.6920331790123456,0.8386381172839507
sl1700,experiment,4,34,0.9446366782006921,0.9411764705882353,0.972318339100346
sl1700,law,4,70,0.9951020408163265,0.8114285714285714,0.9567346938775511
sl1700,paradox,4,60,0.8433333333333334,0.7261111111111113,0.8394444444444444
sl1700,reaction,4,56,0.7716836734693877,0.6575255102040816,0.75
sl1700,researcher,4,206,0.9570176265435009,0.8305683853332076,0.9517390894523517
sl1700,theorem,4,68,0.9948096885813149,0.7811418685121108,0.9584775086505191
sl1700,algorithm,5,152,0.9558518005540166,0.9632963988919668,0.9869286703601108
sl1700,conjecture,5,54,0.8834019204389575,0.7037037037037037,0.8388203017832647
sl1700,constant,5,58,0.9500594530321046,0.7859690844233056,0.9262782401902496
sl1700,effect,5,70,0.9289795918367347,0.986938775510204,0.9648979591836734
sl1700,element,5,154,0.8320121437004555,0.8539382695226851,0.8649013324338
sl1700,experiment,5,36,0.8456790123456791,0.8456790123456789,0.8719135802469136
sl1700,law,5,58,0.9869203329369798,0.9274673008323424,0.9732461355529132
sl1700,paradox,5,76,0.9002770083102493,0.8469529085872577,0.9092797783933518
sl1700,reaction,5,68,0.7707612456747406,0.8875432525951557,0.8676470588235293
sl1700,researcher,5,198,0.9570451994694419,0.9154167942046729,0.9588817467605346
sl1700,theorem,5,56,1.0,0.8533163265306122,0.9942602040816326
