variant,family,tnorm,sconorm,matched,nonfinite,auroc,auprc,fpr@95tpr
stats,TriviaQA,drastic,dombi2,False,0.0,,,
stats,TriviaQA,drastic,ss2,False,0.0,,,
stats,TriviaQA,lukasiewicz,drastic,False,0.0,,,
stats,TriviaQA,lukasiewicz,lukasiewicz,True,0.0,,,
stats,TriviaQA,lukasiewicz,nilpotent,False,0.0,,,
stats,TriviaQA,lukasiewicz,einstein,False,0.0,0.5358355505423192,0.858041569160177,0.9036827195467422
stats,TriviaQA,lukasiewicz,product,False,0.0,0.5183375381374297,0.8531877909103874,0.9178470254957507
stats,TriviaQA,lukasiewicz,hamacher,False,0.0,0.5183203170967622,0.8531706471923641,0.9263456090651558
stats,TriviaQA,lukasiewicz,minimum,False,0.0,0.5160098274738744,0.8525284304543079,0.9348441926345609
stats,TriviaQA,lukasiewicz,yager2,False,0.0,0.5167460269624093,0.8527419963096811,0.9291784702549575
stats,TriviaQA,lukasiewicz,yager3,False,0.0,0.5152750630720615,0.8523341542135853,0.9348441926345609
stats,TriviaQA,lukasiewicz,dombi2,False,0.0,0.5157529469505843,0.8524621207098827,0.9348441926345609
stats,TriviaQA,lukasiewicz,ss2,False,0.0,,,
stats,TriviaQA,nilpotent,drastic,False,0.0,,,
stats,TriviaQA,nilpotent,lukasiewicz,False,0.0,,,
stats,TriviaQA,nilpotent,nilpotent,True,0.0,,,
stats,TriviaQA,nilpotent,einstein,False,0.0,0.5976676970589332,0.8762153333875244,1.0
stats,TriviaQA,nilpotent,product,False,0.0,0.6024393604105497,0.8776468751117656,1.0
stats,TriviaQA,nilpotent,hamacher,False,0.0,0.6065286400257168,0.8785772297891451,1.0
stats,TriviaQA,nilpotent,minimum,False,0.0,0.5779596511017161,0.8713579083889789,1.0
stats,TriviaQA,nilpotent,yager2,False,0.0,0.6024135288495485,0.8759977017732692,1.0
stats,TriviaQA,nilpotent,yager3,False,0.0,0.5942665415271045,0.8743157193176188,1.0
stats,TriviaQA,nilpotent,dombi2,False,0.0,0.5909773227596145,0.8749679020955399,1.0
stats,TriviaQA,nilpotent,ss2,False,0.0,,,
stats,TriviaQA,einstein,drastic,False,0.0,,,
stats,TriviaQA,einstein,lukasiewicz,False,0.0,,,
stats,TriviaQA,einstein,nilpotent,False,0.0,,,
stats,TriviaQA,einstein,einstein,True,0.0,0.6331042934924558,0.9045132413037209,0.8980169971671388
stats,TriviaQA,einstein,product,False,0.0,0.632221715158247,0.9043490115694709,0.9036827195467422
stats,TriviaQA,einstein,hamacher,False,0.0,0.6309947160106886,0.904153313844992,0.9036827195467422
stats,TriviaQA,einstein,minimum,False,0.0,0.6279968198478234,0.9035508195277376,0.9036827195467422
stats,TriviaQA,einstein,yager2,False,0.0,0.63116477378728,0.9042186891174471,0.9065155807365439
stats,TriviaQA,einstein,yager3,False,0.0,0.6298896992345246,0.9039758632149499,0.9036827195467422
stats,TriviaQA,einstein,dombi2,False,0.0,0.6292970084182188,0.9038386615433524,0.9036827195467422
stats,TriviaQA,einstein,ss2,False,0.0,,,
stats,TriviaQA,product,drastic,False,0.0,,,
stats,TriviaQA,product,lukasiewicz,False,0.0,,,
stats,TriviaQA,product,nilpotent,False,0.0,,,
stats,TriviaQA,product,einstein,False,0.0,0.6356400917307433,0.9059126970584525,0.8923512747875354
stats,TriviaQA,product,product,True,0.0,0.6348421835131497,0.9057931212072905,0.8980169971671388
stats,TriviaQA,product,hamacher,False,0.0,0.6337859596855437,0.9056249266689094,0.9065155807365439
stats,TriviaQA,product,minimum,False,0.0,0.6308038494766239,0.9050561843789601,0.9065155807365439
stats,TriviaQA,product,yager2,False,0.0,0.6339316209878563,0.905639775018088,0.9036827195467422
stats,TriviaQA,product,yager3,False,0.0,0.6325460447574847,0.9053898488454234,0.9065155807365439
stats,TriviaQA,product,dombi2,False,0.0,0.6320265433640154,0.905268894155612,0.9065155807365439
stats,TriviaQA,product,ss2,False,0.0,,,
stats,TriviaQA,hamacher,drastic,False,0.0,,,
stats,TriviaQA,hamacher,lukasiewicz,False,0.0,,,
stats,TriviaQA,hamacher,nilpotent,False,0.0,,,
stats,TriviaQA,hamacher,einstein,False,0.0,0.6416832419183092,0.9104579859362345,0.8895184135977338
stats,TriviaQA,hamacher,product,False,0.0,0.6410073160721103,0.9103476399731558,0.9008498583569405
stats,TriviaQA,hamacher,hamacher,True,0.0,0.6400902956565664,0.9101984621700496,0.9036827195467422
stats,TriviaQA,hamacher,minimum,False,0.0,0.6379965041287445,0.9099646281061238,0.9093484419263456
stats,TriviaQA,hamacher,yager2,False,0.0,0.6397013871548258,0.9097864001038447,1.0
stats,TriviaQA,hamacher,yager3,False,0.0,0.6391747103277451,0.9100161787096288,0.9093484419263456
stats,TriviaQA,hamacher,dombi2,False,0.0,0.6390857349509631,0.9100107371870682,0.9065155807365439
stats,TriviaQA,hamacher,ss2,False,0.0,,,
stats,TriviaQA,minimum,drastic,False,0.0,,,
stats,TriviaQA,minimum,lukasiewicz,False,0.0,,,
stats,TriviaQA,minimum,nilpotent,False,0.0,,,
stats,TriviaQA,minimum,einstein,False,0.0,0.633688373788428,0.906122264874809,1.0
stats,TriviaQA,minimum,product,False,0.0,0.6381902408362538,0.9085272913904466,1.0
stats,TriviaQA,minimum,hamacher,False,0.0,0.6408566319662696,0.9100993571312828,1.0
stats,TriviaQA,minimum,minimum,True,0.0,0.6362815754956073,0.9098386258397686,1.0
stats,TriviaQA,minimum,yager2,False,0.0,0.6217125750909127,0.8997749415639396,1.0
stats,TriviaQA,minimum,yager3,False,0.0,0.6387843667392821,0.9068741701756704,1.0
stats,TriviaQA,minimum,dombi2,False,0.0,0.6405674619917281,0.9099142281383388,1.0
stats,TriviaQA,minimum,ss2,False,0.0,,,
stats,TriviaQA,yager2,drastic,False,0.0,,,
stats,TriviaQA,yager2,lukasiewicz,False,0.0,,,
stats,TriviaQA,yager2,nilpotent,False,0.0,,,
stats,TriviaQA,yager2,einstein,False,0.0,0.6124333043445815,0.8836331658427126,1.0
stats,TriviaQA,yager2,product,False,0.0,0.6096564115369492,0.8826656214987278,1.0
stats,TriviaQA,yager2,hamacher,False,0.0,0.6090716136976156,0.8830263390793744,0.9008498583569405
stats,TriviaQA,yager2,minimum,False,0.0,0.6054846144352504,0.8822304178625713,0.9150141643059491
stats,TriviaQA,yager2,yager2,True,0.0,0.6084365878230021,0.8819534958687513,1.0
stats,TriviaQA,yager2,yager3,False,0.0,0.6079752074417857,0.8828239848527869,1.0
stats,TriviaQA,yager2,dombi2,False,0.0,0.6072770377513913,0.8825946549013095,0.9121813031161473
stats,TriviaQA,yager2,ss2,False,0.0,,,
stats,TriviaQA,yager3,drastic,False,0.0,,,
stats,TriviaQA,yager3,lukasiewicz,False,0.0,,,
stats,TriviaQA,yager3,nilpotent,False,0.0,,,
stats,TriviaQA,yager3,einstein,False,0.0,0.6251338218368536,0.889439611328835,1.0
stats,TriviaQA,yager3,product,False,0.0,0.6256447127099891,0.890069469477908,1.0
stats,TriviaQA,yager3,hamacher,False,0.0,0.6241859470567805,0.8905582836656128,1.0
stats,TriviaQA,yager3,minimum,False,0.0,0.6209641773652381,0.8905406629035393,1.0
stats,TriviaQA,yager3,yager2,False,0.0,0.6245518941709649,0.8881847313187533,1.0
stats,TriviaQA,yager3,yager3,True,0.0,0.6236872544207847,0.8910816380631996,1.0
