arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
none,fcm,4,0.006669,0.006669,0.000000,0,0.801641,0.801641,0.755459,0.007497,0,7.7471,7.7471,0,0.07,0.0750,0.7358,
none,fcm,5,0.006009,0.006009,0.000000,0,0.833408,0.833408,0.842144,0.006414,0,6.2508,6.2508,0,0.07,0.0905,0.7422,
none,fcm,6,0.008529,0.008529,0.000000,0,0.776392,0.776392,0.862466,0.006464,,8.5022,8.5022,0,0.07,0.0829,0.7080,
none,fcm,7,0.006890,0.006890,0.000000,0,0.852946,0.852946,0.870453,0.006181,,6.2437,6.2437,0,0.07,0.0734,0.7505,
none,fcm,8,0.006381,0.006381,0.000000,0,0.868411,0.868411,0.872438,0.006707,0,5.8544,5.8544,0,0.07,0.0878,0.7796,
none,fcm,9,0.007663,0.007663,0.000000,0,0.737595,0.737595,0.849755,0.006677,,7.9578,7.9578,0,0.07,0.1061,0.7993,
opt-ga,fcm,0,0.006542,0.004588,0.298684,1,0.838933,0.879690,0.858037,0.006256,1,6.5133,5.6292,2000,29.70,0.0951,0.7632,
opt-ga,fcm,1,0.006131,0.004317,0.295780,1,0.803971,0.868491,0.832372,0.005528,26,7.1487,5.8552,2000,28.31,0.0832,0.8094,
opt-ga,fcm,2,0.006340,0.004490,0.291759,1,0.809238,0.850737,0.808888,0.006182,1,6.8506,6.0598,2000,31.52,0.0732,0.6900,
opt-ga,fcm,3,0.006088,0.004516,0.258164,1,0.868022,0.893936,0.858451,0.005990,4,6.2156,5.5721,2000,28.85,0.0788,0.7343,
opt-ga,fcm,4,0.006669,0.004540,0.319272,1,0.801641,0.868495,0.755459,0.007497,0,7.7471,6.3079,2000,29.18,0.0750,0.7358,
opt-ga,fcm,5,0.006009,0.004830,0.196181,1,0.833408,0.842861,0.842144,0.006414,0,6.2508,6.0709,2000,28.13,0.0905,0.7422,
opt-ga,fcm,6,0.008529,0.004293,0.496645,1,0.776392,0.896921,0.862466,0.006464,1,8.5022,5.7726,2000,29.56,0.0829,0.7080,
opt-ga,fcm,7,0.006890,0.004194,0.391244,1,0.852946,0.890130,0.870453,0.006181,1,6.2437,5.3969,2000,29.19,0.0734,0.7505,
opt-ga,fcm,8,0.006381,0.004666,0.268805,1,0.868411,0.880965,0.872438,0.006707,0,5.8544,5.5681,2000,28.98,0.0878,0.7796,
opt-ga,fcm,9,0.007663,0.004525,0.409505,1,0.737595,0.880265,0.849755,0.006677,1,7.9578,5.3755,2000,30.66,0.1061,0.7993,
scipy-lbfgsb,fcm,0,0.006542,0.006361,0.027648,1,0.838933,0.839259,0.858037,0.006256,,6.5133,6.5067,2000,31.67,0.0951,0.7632,
scipy-lbfgsb,fcm,1,0.006131,0.005212,0.149794,1,0.803971,0.833408,0.832372,0.005528,430,7.1487,6.5901,2000,31.33,0.0832,0.8094,
scipy-lbfgsb,fcm,2,0.006340,0.006098,0.038141,1,0.809238,0.754632,0.808888,0.006182,726,6.8506,7.7695,2000,30.73,0.0732,0.6900,
scipy-lbfgsb,fcm,3,0.006088,0.006044,0.007081,1,0.868022,0.869627,0.858451,0.005990,,6.2156,6.1777,2000,31.05,0.0788,0.7343,
scipy-lbfgsb,fcm,4,0.006669,0.004837,0.274648,1,0.801641,0.844785,0.755459,0.007497,0,7.7471,6.8530,2000,32.81,0.0750,0.7358,
scipy-lbfgsb,fcm,5,0.006009,0.004707,0.216689,1,0.833408,0.756241,0.842144,0.006414,0,6.2508,7.5611,2000,34.30,0.0905,0.7422,
scipy-lbfgsb,fcm,6,0.008529,0.005491,0.356258,1,0.776392,0.873238,0.862466,0.006464,442,8.5022,6.4015,2000,35.08,0.0829,0.7080,
scipy-lbfgsb,fcm,7,0.006890,0.006412,0.069421,1,0.852946,0.869449,0.870453,0.006181,,6.2437,5.8830,2000,32.17,0.0734,0.7505,
scipy-lbfgsb,fcm,8,0.006381,0.006071,0.048676,1,0.868411,0.874811,0.872438,0.006707,0,5.8544,5.7102,2000,30.95,0.0878,0.7796,
scipy-lbfgsb,fcm,9,0.007663,0.004641,0.394324,1,0.737595,0.776632,0.849755,0.006677,436,7.9578,7.3421,2000,32.40,0.1061,0.7993,
