arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
none,cold,7,1000,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,7,2000,0.005357,0.846885,0.846885,0.870453,0.02
none,cold,8,125,0.006406,0.871015,0.871015,0.872438,0.02
none,cold,8,250,0.006406,0.871015,0.871015,0.872438,0.02
none,cold,8,500,0.006406,0.871015,0.871015,0.872438,0.02
none,cold,8,1000,0.006406,0.871015,0.871015,0.872438,0.02
none,cold,8,2000,0.006406,0.871015,0.871015,0.872438,0.02
none,cold,9,125,0.006225,0.859335,0.859335,0.849755,0.01
none,cold,9,250,0.006225,0.859335,0.859335,0.849755,0.01
none,cold,9,500,0.006225,0.859335,0.859335,0.849755,0.01
none,cold,9,1000,0.006225,0.859335,0.859335,0.849755,0.01
none,cold,9,2000,0.006225,0.859335,0.859335,0.849755,0.01
opt-ga,cold,0,125,0.005456,0.862911,0.862517,0.858037,1.74
opt-ga,cold,0,250,0.005261,0.867078,0.862517,0.858037,3.34
opt-ga,cold,0,500,0.005171,0.865226,0.862517,0.858037,6.75
opt-ga,cold,0,1000,0.004903,0.875471,0.862517,0.858037,13.59
opt-ga,cold,0,2000,0.004588,0.879690,0.862517,0.858037,27.62
opt-ga,cold,1,125,0.005226,0.834826,0.819187,0.832372,1.65
opt-ga,cold,1,250,0.005018,0.839461,0.819187,0.832372,3.31
opt-ga,cold,1,500,0.004999,0.849162,0.819187,0.832372,6.58
opt-ga,cold,1,1000,0.004646,0.858946,0.819187,0.832372,13.15
opt-ga,cold,1,2000,0.004353,0.866400,0.819187,0.832372,26.55
opt-ga,cold,2,125,0.005513,0.830399,0.835648,0.808888,1.74
opt-ga,cold,2,250,0.005246,0.853993,0.835648,0.808888,3.33
opt-ga,cold,2,500,0.005089,0.838760,0.835648,0.808888,6.60
opt-ga,cold,2,1000,0.004845,0.826530,0.835648,0.808888,13.41
opt-ga,cold,2,2000,0.004427,0.819019,0.835648,0.808888,26.78
opt-ga,cold,3,125,0.005496,0.879458,0.867659,0.858451,1.68
opt-ga,cold,3,250,0.005469,0.879730,0.867659,0.858451,3.34
opt-ga,cold,3,500,0.005187,0.889477,0.867659,0.858451,6.61
opt-ga,cold,3,1000,0.004898,0.898454,0.867659,0.858451,13.46
opt-ga,cold,3,2000,0.004569,0.895936,0.867659,0.858451,27.17
opt-ga,cold,4,125,0.005363,0.858623,0.845693,0.755459,1.86
opt-ga,cold,4,250,0.005345,0.854259,0.845693,0.755459,3.51
opt-ga,cold,4,500,0.004998,0.848061,0.845693,0.755459,7.45
opt-ga,cold,4,1000,0.004763,0.862797,0.845693,0.755459,15.05
opt-ga,cold,4,2000,0.004487,0.861827,0.845693,0.755459,29.50
opt-ga,cold,5,125,0.005254,0.841626,0.811983,0.842144,1.81
opt-ga,cold,5,250,0.005254,0.841626,0.811983,0.842144,3.64
opt-ga,cold,5,500,0.005165,0.847080,0.811983,0.842144,7.35
opt-ga,cold,5,1000,0.005031,0.845783,0.811983,0.842144,14.78
opt-ga,cold,5,2000,0.004794,0.844243,0.811983,0.842144,29.78
